label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
natural_fw32_u64_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,369.504,44.949462890625,23.565521240234375,4691968.0,786443.0,0.0,0.0,22.66,82.46,0.02,1105564.0,1159256.0,19387008.0,,473891320.0,,,,,14.41,23.87,10.54,40.82,0.29,128.0,49152.0,1.0,2.0,2.0,8.0
natural_fw32_u64_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,1134.24,246.98477172851562,96.07366943359375,18748672.0,3145764.0,0.0,0.0,35.79,77.02,0.01,4448506.0,4757294.0,75825982.0,,1849878651.0,,,,,16.16,10.79,9.82,51.22,1.28,128.0,49152.0,1.0,2.0,2.0,8.0
natural_fw8_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,3948.704,1816.1324768066406,193.01333618164062,70778244.0,6311487.0,0.0,0.0,58.87,58.1,0.09,10388559.0,10606689.0,180931082.0,,3918500112.0,,,,,35.27,17.35,3.41,49.03,9.54,48.0,32768.0,1.0,5.0,3.0,8.0
natural_fw8_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,232.928,20.87542724609375,11.4561767578125,4427666.0,385337.0,0.0,0.0,16.9,90.97,0.46,638359.0,709659.0,12217490.0,,248914225.0,,,,,25.17,27.81,7.02,36.84,2.33,48.0,32768.0,1.0,5.0,3.0,8.0
natural_fw8_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,730.6560000000001,152.48257446289062,49.821014404296875,17697294.0,1560004.0,0.0,0.0,33.11,84.11,0.19,2585387.0,2815452.0,45603910.0,,983104110.0,,,,,30.73,23.08,6.15,42.51,7.46,48.0,32768.0,1.0,5.0,3.0,8.0
natural_fw8_u64_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,5838.88,2281.5509643554688,385.4803161621094,74975488.0,12641146.0,0.0,0.0,50.62,49.9,0.08,19140588.0,17894270.0,310015982.0,,7407768237.0,,,,,18.19,6.7,6.78,61.29,1.57,128.0,49152.0,1.0,2.0,2.0,8.0
natural_fw8_u64_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,359.616,45.285491943359375,23.793701171875,4691968.0,765830.0,0.0,0.0,23.18,82.37,1.15,1193220.0,1151878.0,19980135.0,,477625755.0,,,,,15.55,22.18,10.36,41.0,0.27,128.0,49152.0,1.0,2.0,2.0,8.0
natural_fw8_u64_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,1162.112,259.11712646484375,97.2574462890625,18748672.0,3119220.0,0.0,0.0,36.68,76.22,0.08,4744986.0,4687064.0,77486668.0,,1863445735.0,,,,,17.11,10.26,9.95,50.76,1.24,128.0,49152.0,1.0,2.0,2.0,8.0
static_fw16_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,2456.512,748.1760559082031,129.82083129882812,68681552.0,4194310.0,0.0,0.0,32.16,64.13,0.0,9687675.0,11514481.0,155331412.0,,3357536048.0,,,,,33.21,25.25,4.9,38.85,8.2,48.0,32768.0,1.0,5.0,3.0,8.0
static_fw16_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,173.984,16.739532470703125,8.0172119140625,4297008.0,262147.0,0.0,0.0,15.72,92.71,0.04,598697.0,686746.0,9970993.0,,212570936.0,,,,,24.9,33.19,6.84,33.54,3.22,48.0,32768.0,1.0,5.0,3.0,8.0
static_fw16_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,576.224,100.34921264648438,34.522705078125,17174064.0,1048579.0,0.0,0.0,27.85,89.83,0.01,2415137.0,2986302.0,38661598.0,,841986908.0,,,,,29.67,20.65,6.66,40.39,9.08,48.0,32768.0,1.0,5.0,3.0,8.0
static_fw16_u64_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,4152.6720000000005,1418.5361328125,258.5699157714844,70781184.0,8388738.0,0.0,0.0,38.93,56.25,0.0,17628589.0,18460726.0,277671750.0,,6853017637.0,,,,,19.85,8.1,7.59,57.25,2.45,128.0,49152.0,1.0,2.0,2.0,8.0
static_fw16_u64_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,294.176,39.29608154296875,16.100311279296875,4430448.0,524298.0,0.0,0.0,22.29,84.5,0.03,1088195.0,1152496.0,17647904.0,,443566765.0,,,,,15.75,28.25,10.21,40.06,0.45,128.0,49152.0,1.0,2.0,2.0,8.0
static_fw16_u64_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,921.376,185.9598388671875,65.14901733398438,17700096.0,2097186.0,0.0,0.0,30.07,76.32,0.01,4368085.0,4758552.0,69669644.0,,1726580231.0,,,,,18.59,13.54,9.95,48.71,1.96,128.0,49152.0,1.0,2.0,2.0,8.0
static_fw32_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,2686.08,990.5612487792969,130.66729736328125,68681552.0,4194310.0,0.0,0.0,43.33,68.94,0.0,9689816.0,11341434.0,154910359.0,,3357518462.0,,,,,34.04,22.57,4.2,41.61,8.96,48.0,32768.0,1.0,5.0,3.0,8.0
static_fw32_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,176.224,16.519744873046875,8.11102294921875,4297008.0,262147.0,0.0,0.0,15.69,92.9,0.04,598479.0,724459.0,9971623.0,,212572150.0,,,,,24.77,33.5,6.93,33.39,3.45,48.0,32768.0,1.0,5.0,3.0,8.0
static_fw32_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,581.824,110.05374145507812,34.53509521484375,17174064.0,1048579.0,0.0,0.0,28.51,88.72,0.01,2419062.0,2954181.0,38655706.0,,841941353.0,,,,,30.1,19.49,6.46,39.14,10.13,48.0,32768.0,1.0,5.0,3.0,8.0
