word_bits,batch,variant,a_group,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_radix4
64,1,grouped,32,7-11-2,0.38845450000000004,2,0.556610877206983,0.8069722451406791
64,1,grouped,32,8-10-2,0.35031,2,0.6172190345693813,0.8948417116268447
64,1,grouped,32,9-11-2,0.35299800000000003,2,0.6125190510994396,0.8880276942078991
64,1,radix4-matched,1,10-9-3,0.313472,2,0.6897521947733769,1.0
64,1,v06,0,9-11,0.216218,2,1.0,1.4497960391826767
64,4,grouped,8,10-9-3,1.1544065,2,0.5274983292280493,0.8991659350497421
64,4,grouped,8,6-12-2,1.247795,2,0.488018865278351,0.8318698183595863
64,4,grouped,8,7-11-2,1.225011,2,0.49709553628498027,0.8473417789717806
64,4,grouped,8,8-10-2,1.0656515,2,0.5714321239166839,0.97405483875357
64,4,grouped,8,9-11-2,1.071872,2,0.5681158757762121,0.9684020106878434
64,4,grouped,16,10-9-3,1.0514685,2,0.5791400312990832,0.9871936249160104
64,4,grouped,16,6-12-2,1.1545855,2,0.5274165490559166,0.8990265337647146
64,4,grouped,16,7-11-2,1.1483395,2,0.530285251008086,0.9039164811451665
64,4,grouped,16,8-10-2,1.007539,2,0.6043909962790522,1.0302360504159145
64,4,grouped,16,9-11-2,1.0161665000000002,2,0.599259570159024,1.0214890965210917
64,4,grouped,32,10-9-3,0.9886465,2,0.6159405813908206,1.0499233042346279
64,4,grouped,32,6-12-2,1.1119105,2,0.5476587369217216,0.933531071070918
64,4,grouped,32,7-11-2,1.1040255,2,0.5515701403636056,0.9401983921567029
64,4,grouped,32,8-10-2,0.9708289999999999,2,0.6272448598053828,1.0691924118459586
64,4,grouped,32,9-11-2,0.985984,2,0.6176038353563547,1.0527584626119695
64,4,radix4-matched,1,9-11-2,1.038003,2,0.5866529287487608,1.0
64,4,v06,0,9-11,0.6089475,2,1.0,1.7045853706600325
64,16,grouped,8,10-9-3,5.26103,2,0.36883062822299056,0.9895869249937751
64,16,grouped,8,6-12-2,4.8505345,2,0.400044366244586,1.073334598486002
64,16,grouped,8,7-11-2,5.2923905,2,0.3666450916650992,0.983723045379966
64,16,grouped,8,8-10-2,4.191565,2,0.46293663583888117,1.2420770046510077
