word_bits,batch,variant,data_time,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_writer_final
32,16,data-time,4,6-12-4,1.8662144999999999,2,0.5757004352929419,0.9686140044458984
32,16,data-time,4,7-11-4,1.994291,2,0.5387280492164884,0.9064080918983237
32,16,data-time,8,6-11-5,2.300928,2,0.4669335589814197,0.7856141087422118
32,16,data-time,8,6-12-4,2.033126,2,0.5284377357822387,0.8890946748996371
32,16,data-time,8,7-11-4,2.2685185,2,0.4736044691722814,0.7968378922190849
32,16,v06,0,9-11,1.0743805,2,1.0,1.6824965642991472
32,16,writer-final,1,6-12-4,1.8076415,2,0.5943548541013248,1.0
64,1,data-time,1,8-7-5,0.37568,2,0.5745142142248723,0.8036786626916526
64,1,data-time,1,8-8-4,0.3130625,2,0.6894262327809942,0.9644272309842284
64,1,data-time,1,9-8-3,0.3383295,2,0.6379387549711154,0.8924022291878184
64,1,data-time,2,8-7-5,0.37649900000000003,2,0.5732644708219676,0.8019304168138561
64,1,data-time,2,8-8-4,0.313472,2,0.688525609942834,0.9631673642302983
64,1,data-time,2,9-8-3,0.339149,2,0.6363972767131851,0.8902458801293828
64,1,data-time,4,8-7-5,0.37626899999999996,2,0.573614887221642,0.8024206086602937
64,1,data-time,4,8-8-4,0.31334399999999996,2,0.6888068704044119,0.9635608149509807
64,1,data-time,4,9-8-3,0.339379,2,0.6359659849313011,0.8896425530159499
64,1,data-time,8,8-7-5,0.3931135,2,0.5490360926297367,0.7680377295615644
64,1,data-time,8,8-8-4,0.327168,2,0.6597023547535211,0.9228469776995306
64,1,data-time,8,9-8-3,0.3538945,2,0.6098809108364216,0.8531525638290508
64,1,v06,0,9-11,0.2158335,2,1.0,1.3988838618657438
64,1,writer-final,1,8-8-4,0.301926,2,0.7148556268754596,1.0
64,4,data-time,1,8-7-5,1.171507,2,0.5221142511312351,0.8036580233835563
64,4,data-time,1,8-8-4,1.008384,2,0.6065749754061944,0.9336631679994922
64,4,data-time,1,9-8-3,1.043354,2,0.5862444577775137,0.9023696655210025
64,4,data-time,2,8-7-5,1.200717,2,0.5094127092395626,0.7841073292041338
64,4,data-time,2,8-8-4,1.0696189999999999,2,0.5718489480833829,0.8802115519638302
64,4,data-time,2,9-8-3,1.117363,2,0.5474143138800908,0.8426008378655816
64,4,data-time,4,8-7-5,1.4425599999999998,2,0.4240104397737356,0.6526529225820764
64,4,data-time,4,8-8-4,1.211213,2,0.5049982950975591,0.7773124958203057
64,4,data-time,4,9-8-3,1.3021954999999998,2,0.4697148008881923,0.7230028056463105
64,4,data-time,8,8-7-5,1.4441985000000002,2,0.42352938325306383,0.6519124621719243
64,4,data-time,8,8-8-4,1.2126465,2,0.5044013238812795,0.7763936151219667
64,4,data-time,8,9-8-3,1.3039615,2,0.46907864994480275,0.7220236180285997
64,4,v06,0,9-11,0.6116604999999999,2,1.0,1.5392378615261244
64,4,writer-final,1,8-8-4,0.941491,2,0.6496721689320449,1.0
64,16,data-time,1,8-7-5,3.6709635,2,0.5276261940496003,0.849418007016414
64,16,data-time,1,8-8-4,3.3589245,2,0.5766418685504839,0.9283276536879587
64,16,data-time,1,9-8-3,3.4800895,2,0.5565651400632081,0.896006410179968
64,16,data-time,2,8-7-5,3.800115,2,0.5096941803077012,0.820549509685891
64,16,data-time,2,8-8-4,3.4554115000000003,2,0.560540039876582,0.9024055456202538
64,16,data-time,2,9-8-3,3.542323,2,0.5467870942316666,0.8802648713852462
64,16,data-time,4,8-7-5,4.0898815,2,0.4735825475628084,0.7624138987889991
64,16,data-time,4,8-8-4,3.5981565,2,0.5383024612742664,0.8666055798295599
64,16,data-time,4,9-8-3,3.6543229999999998,2,0.5300288179233199,0.8532859574810436
64,16,data-time,8,8-7-5,4.3105025,2,0.44934355101290396,0.7233918783250908
64,16,data-time,8,8-8-4,3.979469,2,0.4867223491375357,0.7835674809880413
64,16,data-time,8,9-8-3,4.1168125,2,0.47048450712778395,0.7574264069592676
64,16,v06,0,9-11,1.9368965,2,1.0,1.609885969642673
64,16,writer-final,1,8-8-4,3.1181824999999996,2,0.6211620070345466,1.0
