trial,variant,producer_dt,consumer_dt,producer_blocks,consumer_blocks,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
1,lane32,1,2,85,75,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","85+75","full-scratch","1",8,0,5,30,10.892320,1.299832,1.300080,0.000248,0,0,0,0,0,7,natural,natural,"",10.135232,12309.287690,716.608833,12907223648.771246,fused,shoup,-1
1,lane32,1,2,86,74,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","86+74","full-scratch","1",8,0,5,30,10.886816,1.238869,1.239106,0.000237,0,0,0,0,0,7,natural,natural,"",10.113632,12915.002316,719.446538,13542361468.121334,fused,shoup,-1
1,lane32,1,2,88,72,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","88+72","full-scratch","1",8,0,5,30,11.068960,1.265289,1.265638,0.000350,0,0,0,0,0,7,natural,natural,"",10.181728,12645.336494,710.606513,13259596359.465273,fused,shoup,-1
1,lane32,1,2,90,70,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","90+70","full-scratch","1",8,0,5,30,10.889600,1.302323,1.302577,0.000254,0,0,0,0,0,7,natural,natural,"",10.142880,12285.737667,716.370758,12882529659.485434,fused,shoup,-1
1,lane32,2,1,72,88,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","2+1","0+0","0+0","6+6","72+88","full-scratch","1",8,0,5,30,10.885088,1.354206,1.354463,0.000258,0,0,0,0,0,7,natural,natural,"",10.121440,11815.042771,715.540026,12388970288.240868,fused,shoup,-1
1,lane32,2,1,74,86,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","2+1","0+0","0+0","6+6","74+86","full-scratch","1",8,0,5,30,10.886400,1.360247,1.360507,0.000260,0,0,0,0,0,7,natural,natural,"",10.116096,11762.566362,715.475731,12333944785.229010,fused,shoup,-1
1,lane32,2,1,76,84,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","2+1","0+0","0+0","6+6","76+84","full-scratch","1",8,0,5,30,10.882240,1.298944,1.299179,0.000235,0,0,0,0,0,7,natural,natural,"",10.116160,12317.698102,717.574233,12916042605.468336,fused,shoup,-1
1,lane32,2,1,78,82,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","2+1","0+0","0+0","6+6","78+82","full-scratch","1",8,0,5,30,10.879552,1.321950,1.322199,0.000249,0,0,0,0,0,7,natural,natural,"",10.121280,12103.333667,716.756558,12691265203.510513,fused,shoup,-1
1,lane32,2,1,80,80,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","2+1","0+0","0+0","6+6","80+80","full-scratch","1",8,0,5,30,10.874592,1.276211,1.276474,0.000263,0,0,0,0,0,7,natural,natural,"",10.130400,12537.110410,718.094092,13146113084.868670,fused,shoup,-1
1,lane32,2,1,82,78,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","2+1","0+0","0+0","6+6","82+78","full-scratch","1",8,0,5,30,10.869984,1.229483,1.229724,0.000241,0,0,0,0,0,7,natural,natural,"",10.112832,13013.603722,720.321676,13645752536.379757,fused,shoup,-1
