case,backend,word_bits,logN,batch,stage_space,data_space,data_time,pipeline_buffers,dataflow_layout,dataflow_state,kernel_ms,kernel_ntt_s,correct
dataflow_search_w32_n12_b16_us4,hybrid-dataflow,32,12,16,4,32,4,2,hermes-xor,inplace,0.312576,51187.551855,1
hybrid2d_w32_n12_b16,hybrid2d,32,12,16,0,0,0,0,hermes-xor,inplace,0.009114,1755617.885529,1
dataflow_default_w64_n6_b1,hybrid-dataflow,64,6,1,6,16,4,2,hermes-xor,inplace,0.007680,130208.328728,1
dataflow_search_w64_n6_b1_us2,hybrid-dataflow,64,6,1,2,16,4,2,hermes-xor,inplace,0.028262,35382.698024,1
dataflow_search_w64_n6_b1_us4,hybrid-dataflow,64,6,1,4,16,4,2,hermes-xor,inplace,0.017254,57956.228101,1
tile256_w64_n6_b1,tile256,64,6,1,0,0,0,0,hermes-xor,inplace,0.005427,184257.079494,1
dataflow_default_w64_n6_b16,hybrid-dataflow,64,6,16,6,16,4,2,hermes-xor,inplace,0.007834,2042483.648593,1
dataflow_search_w64_n6_b16_us2,hybrid-dataflow,64,6,16,2,16,4,2,hermes-xor,inplace,0.028467,562050.382737,1
dataflow_search_w64_n6_b16_us4,hybrid-dataflow,64,6,16,4,16,4,2,hermes-xor,inplace,0.017459,916422.250902,1
tile256_w64_n6_b16,tile256,64,6,16,0,0,0,0,hermes-xor,inplace,0.005632,2840909.068720,1
dataflow_default_w64_n8_b1,hybrid-dataflow,64,8,1,8,16,2,2,hermes-xor,inplace,0.021555,46392.517343,1
dataflow_search_w64_n8_b1_us2,hybrid-dataflow,64,8,1,2,16,4,2,hermes-xor,inplace,0.120832,8275.953140,1
dataflow_search_w64_n8_b1_us4,hybrid-dataflow,64,8,1,4,16,4,2,hermes-xor,inplace,0.026470,37778.048519,1
stage_pipeline_w64_n8_b1,stage-pipeline,64,8,1,8,0,0,0,hermes-xor,inplace,0.009882,101198.188513,1
tile256_w64_n8_b1,tile256,64,8,1,0,0,0,0,hermes-xor,inplace,0.006656,150240.386309,1
dataflow_default_w64_n8_b16,hybrid-dataflow,64,8,16,8,16,2,2,hermes-xor,inplace,0.021555,742280.277489,1
dataflow_search_w64_n8_b16_us2,hybrid-dataflow,64,8,16,2,16,4,2,hermes-xor,inplace,0.120832,132415.250234,1
dataflow_search_w64_n8_b16_us4,hybrid-dataflow,64,8,16,4,16,4,2,hermes-xor,inplace,0.026470,604448.776306,1
stage_pipeline_w64_n8_b16,stage-pipeline,64,8,16,8,0,0,0,hermes-xor,inplace,0.010240,1562500.039472,1
tile256_w64_n8_b16,tile256,64,8,16,0,0,0,0,hermes-xor,inplace,0.006707,2385496.236844,1
dataflow_default_w64_n10_b1,hybrid-dataflow,64,10,1,5,16,4,2,hermes-xor,inplace,0.045414,22019.447889,1
dataflow_search_w64_n10_b1_us2,hybrid-dataflow,64,10,1,2,16,4,2,hermes-xor,inplace,0.567091,1763.384899,1
dataflow_search_w64_n10_b1_us4,hybrid-dataflow,64,10,1,4,16,4,2,hermes-xor,inplace,0.180787,5531.364878,1
tile256_w64_n10_b1,tile256,64,10,1,0,0,0,0,hermes-xor,inplace,0.011264,88778.408398,1
dataflow_default_w64_n10_b16,hybrid-dataflow,64,10,16,5,16,4,2,hermes-xor,inplace,0.045466,351914.416384,1
dataflow_search_w64_n10_b16_us2,hybrid-dataflow,64,10,16,2,16,4,2,hermes-xor,inplace,0.565862,28275.424402,1
dataflow_search_w64_n10_b16_us4,hybrid-dataflow,64,10,16,4,16,4,2,hermes-xor,inplace,0.180838,88476.788005,1
tile256_w64_n10_b16,tile256,64,10,16,0,0,0,0,hermes-xor,inplace,0.012698,1260080.662206,1
dataflow_default_w64_n12_b1,hybrid-dataflow,64,12,1,6,16,4,2,hermes-xor,inplace,0.125491,7968.686131,1
dataflow_search_w64_n12_b1_us2,hybrid-dataflow,64,12,1,2,16,4,2,hermes-xor,inplace,2.681344,372.947294,1
dataflow_search_w64_n12_b1_us4,hybrid-dataflow,64,12,1,4,16,4,2,hermes-xor,inplace,0.354867,2817.955640,1
tile256_w64_n12_b1,tile256,64,12,1,0,0,0,0,hermes-xor,inplace,0.016077,62201.435125,1
dataflow_default_w64_n12_b16,hybrid-dataflow,64,12,16,6,16,4,2,hermes-xor,inplace,0.124416,128600.814165,1
dataflow_search_w64_n12_b16_us2,hybrid-dataflow,64,12,16,2,16,4,2,hermes-xor,inplace,2.649600,6038.647277,1
dataflow_search_w64_n12_b16_us4,hybrid-dataflow,64,12,16,4,16,4,2,hermes-xor,inplace,0.352307,45414.910568,1
tile256_w64_n12_b16,tile256,64,12,16,0,0,0,0,hermes-xor,inplace,0.022170,721708.968768,1
