word_bits,batch,variant,fragment_width,writer_tiles,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_grouped
32,16,writer-final,8,2,6-11-5,2.08128,1,0.5258057541512915,1.0401474092865928
32,16,writer-final,8,2,6-12-4,1.952154,1,0.5605853841448984,1.1089483719009874
32,16,writer-final,8,2,6-13-3,1.938432,1,0.5645537217709985,1.1167985258188062
32,16,writer-final,8,2,6-14-2,2.07657,1,0.5269983675002529,1.0425066335351085
32,16,writer-final,8,2,7-11-5,2.089062,1,0.5238470662909956,1.0362727386741035
32,16,writer-final,8,2,7-12-4,2.015846,1,0.5428733147274147,1.073910407838694
32,16,writer-final,8,2,7-13-3,2.012467,1,0.5437848173411043,1.0757135396505881
32,16,writer-final,16,1,6-10-6,2.034381,1,0.5379272614126852,1.0641261395972532
32,16,writer-final,16,1,6-11-5,1.972634,1,0.5547653543434818,1.0974352059226395
32,16,writer-final,16,1,6-12-4,1.863578,1,0.5872300488629937,1.1616567699339657
32,16,writer-final,16,1,6-13-3,1.861837,1,0.5877791664898699,1.162743032821885
32,16,writer-final,16,1,6-14-2,2.086707,1,0.5244382656501367,1.0374422475220526
32,16,writer-final,16,1,7-11-5,1.963725,1,0.5572822060115342,1.102414034551681
32,16,writer-final,16,1,7-12-4,1.915904,1,0.5711919803915019,1.1299303096606093
32,16,writer-final,16,1,7-13-3,1.912525,1,0.5722011476974157,1.1319266414818108
32,16,writer-final,16,2,6-10-6,2.036531,1,0.5373593625631036,1.063002723749356
32,16,writer-final,16,2,6-11-5,1.993626,1,0.5489239205347443,1.0858796985994366
32,16,writer-final,16,2,6-12-4,1.849958,1,0.5915534298616509,1.1702092696158508
32,16,writer-final,16,2,6-13-3,1.865626,1,0.5865854142255736,1.1603815555743755
32,16,writer-final,16,2,6-14-2,2.081485,1,0.5257539689212269,1.040044967895517
32,16,writer-final,16,2,7-11-5,1.98144,1,0.5522998425387596,1.0925579376614987
32,16,writer-final,16,2,7-12-4,1.908634,1,0.5733676545634208,1.1342342219618848
32,16,writer-final,16,2,7-13-3,1.900442,1,0.5758391995125345,1.1391234249716646
32,16,writer-final,32,1,6-10-6,1.970381,1,0.5553996917347458,1.0986900502999166
32,16,writer-final,32,1,6-11-5,2.014822,1,0.5431492211222629,1.0744562050642688
32,16,writer-final,32,1,6-12-4,2.11241,1,0.5180571006575427,1.0248190455451356
32,16,writer-final,32,1,6-13-3,2.420531,1,0.4521111276823143,0.8943649141448715
32,16,writer-final,32,1,6-14-2,3.151872,1,0.34720604136208577,0.6868419783544509
32,16,writer-final,32,1,7-11-5,2.055782,1,0.5323273576673012,1.0530484263409252
32,16,writer-final,32,1,7-12-4,2.271027,1,0.481874059621484,0.9532418592997793
32,16,writer-final,32,1,7-13-3,2.545357,1,0.4299392973166436,0.8505046639823018
32,16,writer-final,32,2,6-10-6,2.033664,1,0.5381169160687311,1.0645013138846928
32,16,writer-final,32,2,6-11-5,2.132685,1,0.5131320377833576,1.0150763005319585
32,16,writer-final,32,2,6-12-4,2.177229,1,0.502633852479459,0.9943088209830018
32,16,writer-final,32,2,6-13-3,2.494874,1,0.4386389853756142,0.8677143615268748
32,16,writer-final,32,2,6-14-2,3.117158,1,0.3510726758155987,0.6944909433528875
32,16,writer-final,32,2,7-11-5,2.068173,1,0.5291380363248143,1.0467393201632553
32,16,writer-final,32,2,7-12-4,2.269799,1,0.48213476171238073,0.9537575794156223
32,16,writer-final,32,2,7-13-3,2.545357,1,0.4299392973166436,0.8505046639823018
64,1,grouped,8,2,10-9-3,0.312525,1,0.7309943204543636,1.0
64,1,v06,0,0,9-11,0.228454,1,1.0,1.3679996848380855
64,1,writer-final,8,1,10-8-4,0.374989,1,0.6092285373704295,0.8334244471171154
64,1,writer-final,8,1,10-9-3,0.313344,1,0.7290836907679737,0.9973862591911764
64,1,writer-final,8,1,8-10-2,0.364646,1,0.6265089977676979,0.8570641114944356
64,1,writer-final,8,1,8-7-5,0.370688,1,0.6162972634668508,0.8430944621892265
64,1,writer-final,8,1,8-8-4,0.314266,1,0.7269446901669286,0.9944601070430782
64,1,writer-final,8,1,8-9-3,0.333517,1,0.6849845735000014,0.9370586806669525
64,1,writer-final,8,1,9-7-5,0.356147,1,0.6414598466363608,0.8775168680348283
64,1,writer-final,8,1,9-8-4,0.372838,1,0.6127433362479147,0.8382326908737843
64,1,writer-final,8,1,9-9-3,0.317235,1,0.720141220231059,0.985152962315003
64,1,writer-final,8,2,10-8-4,0.374272,1,0.6103956480848153,0.8350210542065664
64,1,writer-final,8,2,10-9-3,0.315904,1,0.723175395056726,0.9893037125202593
64,1,writer-final,8,2,8-10-2,0.358502,1,0.6372460962560879,0.8717524588426285
64,1,writer-final,8,2,8-7-5,0.372531,1,0.6132482934306138,0.8389234721405735
64,1,writer-final,8,2,8-8-4,0.312422,1,0.7312353163349572,1.0003296822886993
64,1,writer-final,8,2,8-9-3,0.339661,1,0.6725941453390292,0.9201085788477334
64,1,writer-final,8,2,9-7-5,0.360653,1,0.6334454447904218,0.866553168835418
