word_bits,batch,variant,fragment_width,writer_tiles,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_grouped
64,1,writer-final,8,2,9-8-4,0.366182,1,0.6238810209130978,0.8534690399855809
64,1,writer-final,8,2,9-9-3,0.329933,1,0.6924254318300989,0.9472377725174506
64,1,writer-final,16,1,10-8-4,0.389632,1,0.5863327447437582,0.802103010019711
64,1,writer-final,16,1,10-9-3,0.343552,1,0.6649764809985096,0.9096876164307004
64,1,writer-final,16,1,8-10-2,0.402227,1,0.5679728113726825,0.7769866269544312
64,1,writer-final,16,1,8-7-5,0.380928,1,0.5997301327284946,0.8204306325604839
64,1,writer-final,16,1,8-8-4,0.331674,1,0.6887908006054136,0.9422655981475786
64,1,writer-final,16,1,8-9-3,0.356864,1,0.6401710455523673,0.8757537885581061
64,1,writer-final,16,1,9-7-5,0.377958,1,0.6044428216891824,0.8268775895734446
64,1,writer-final,16,1,9-8-4,0.393933,1,0.579931105035628,0.7933455689165417
64,1,writer-final,16,1,9-9-3,0.345088,1,0.6620166450296735,0.9056385617581603
64,1,writer-final,16,2,10-8-4,0.398131,1,0.5738161559888579,0.7849803205477593
64,1,writer-final,16,2,10-9-3,0.35543,1,0.6427538474523815,0.879287060743325
64,1,writer-final,16,2,8-10-2,0.413286,1,0.5527745919290757,0.756195467545477
64,1,writer-final,16,2,8-7-5,0.387789,1,0.5891193406723759,0.8059150723718311
64,1,writer-final,16,2,8-8-4,0.348058,1,0.6563676168914376,0.897910693045412
64,1,writer-final,16,2,8-9-3,0.36352,1,0.6284496038732394,0.8597188600352113
64,1,writer-final,16,2,9-7-5,0.376013,1,0.6075694191424232,0.8311547739040938
64,1,writer-final,16,2,9-8-4,0.403046,1,0.5668186757839055,0.7754077698327237
64,1,writer-final,16,2,9-9-3,0.355123,1,0.6433095012150719,0.8800471949155644
64,1,writer-final,32,1,10-8-4,0.484762,1,0.471270437864354,0.6446978104719429
64,1,writer-final,32,1,10-9-3,0.457216,1,0.49966317889137735,0.6835390712486002
64,1,writer-final,32,1,8-10-2,0.57047,1,0.40046628218837094,0.5478377478219714
64,1,writer-final,32,1,8-7-5,0.468992,1,0.4871170510371179,0.6663759722980349
64,1,writer-final,32,1,8-8-4,0.413491,1,0.552500538101192,0.7558205619953035
64,1,writer-final,32,1,8-9-3,0.471142,1,0.4848941508080366,0.6633350454852253
64,1,writer-final,32,1,9-7-5,0.44585,1,0.5124010317371313,0.7009644499271055
64,1,writer-final,32,1,9-8-4,0.473293,1,0.48269042643774573,0.6603203512411973
64,1,writer-final,32,1,9-9-3,0.458445,1,0.4983236811395042,0.6817066387461964
64,1,writer-final,32,2,10-8-4,0.506982,1,0.45061560370979636,0.6164420038581251
64,1,writer-final,32,2,10-9-3,0.477082,1,0.47885688414151023,0.6550760665881337
64,1,writer-final,32,2,8-10-2,0.568525,1,0.4018363308561629,0.5497119739677235
64,1,writer-final,32,2,8-7-5,0.490291,1,0.46595593229327076,0.6374275685256308
64,1,writer-final,32,2,8-8-4,0.413184,1,0.5529110517348204,0.7563821445167286
64,1,writer-final,32,2,8-9-3,0.491725,1,0.4645970817021709,0.6355686613452641
64,1,writer-final,32,2,9-7-5,0.465715,1,0.49054464640391654,0.671064921679568
64,1,writer-final,32,2,9-8-4,0.477594,1,0.47834353027885607,0.6543737986658124
64,1,writer-final,32,2,9-9-3,0.480358,1,0.4755911216217904,0.6506085044904009
64,4,grouped,16,2,8-10-2,0.967066,1,0.631617697240933,1.0
64,4,v06,0,0,9-11,0.610816,1,1.0,1.583236195515507
64,4,writer-final,8,1,10-8-4,1.015296,1,0.6016137165910237,0.9524966118255169
64,4,writer-final,8,1,10-9-3,0.943616,1,0.647314161692892,1.024851210661964
64,4,writer-final,8,1,8-10-2,0.972698,1,0.6279605797482878,0.9942099192143914
64,4,writer-final,8,1,8-7-5,1.083187,1,0.5639063245773814,0.8927969039510261
64,4,writer-final,8,1,8-8-4,0.942182,1,0.6482993731572032,1.0264110331124985
64,4,writer-final,8,1,8-9-3,0.978227,1,0.6244113073959316,0.9885905827583986
64,4,writer-final,8,1,9-7-5,1.005773,1,0.6073099993736161,0.961515172906809
64,4,writer-final,8,1,9-8-4,1.009254,1,0.6052153372689134,0.958198828045269
64,4,writer-final,8,1,9-9-3,0.970138,1,0.629617642026186,0.9968334401909832
64,4,writer-final,8,2,10-8-4,1.010176,1,0.6046629498226053,0.9573242682463254
64,4,writer-final,8,2,10-9-3,0.942285,1,0.6482285083599972,1.0262988374005741
64,4,writer-final,8,2,8-10-2,0.967782,1,0.6311504037066199,0.9992601639625452
64,4,writer-final,8,2,8-7-5,1.087283,1,0.561781983163537,0.889433569732995
64,4,writer-final,8,2,8-8-4,0.939008,1,0.6504907306434025,1.029880469601963
64,4,writer-final,8,2,8-9-3,0.984781,1,0.6202556710578291,0.9820112288925151
64,4,writer-final,8,2,9-7-5,1.015398,1,0.6015532825552148,0.9524009304725831
64,4,writer-final,8,2,9-8-4,1.018675,1,0.5996181313961765,0.9493371291137997
64,4,writer-final,8,2,9-9-3,0.979149,1,0.6238233404721856,0.9876596922429578
64,4,writer-final,16,1,10-8-4,0.997786,1,0.6121713473630619,0.969211835002696
64,4,writer-final,16,1,10-9-3,0.946586,1,0.6452831544096364,1.021635646417758
64,4,writer-final,16,1,8-10-2,1.138278,1,0.5366140784588651,0.8495868320392734
64,4,writer-final,16,1,8-7-5,1.079398,1,0.5658857993066505,0.8959308799905131
64,4,writer-final,16,1,8-8-4,0.951808,1,0.6417428725121033,1.0160305439752555
64,4,writer-final,16,1,8-9-3,0.996454,1,0.6129896613391085,0.9705074193088693
64,4,writer-final,16,1,9-7-5,1.03424,1,0.5905940594059406,0.9350498917079207
64,4,writer-final,16,1,9-8-4,1.030349,1,0.592824373100765,0.9385810050769205
64,4,writer-final,16,1,9-9-3,0.975155,1,0.6263783706180044,0.9917049084504515
64,4,writer-final,16,2,10-8-4,1.025741,1,0.5954875548505909,0.9427974508184814
64,4,writer-final,16,2,10-9-3,0.958566,1,0.6372185118186958,1.0088674123638852
64,4,writer-final,16,2,8-10-2,1.120154,1,0.545296450309511,0.863333077416141
64,4,writer-final,16,2,8-7-5,1.092096,1,0.5593061415846227,0.8855137277308954
64,4,writer-final,16,2,8-8-4,0.966758,1,0.6318189246947012,1.0003185905883374
64,4,writer-final,16,2,8-9-3,1.00311,1,0.6089222517969116,0.9640677492996781
64,4,writer-final,16,2,9-7-5,1.00823,1,0.6058300189440902,0.959172014322129
64,4,writer-final,16,2,9-8-4,1.031885,1,0.5919419315136861,0.9371838916158293
64,4,writer-final,16,2,9-9-3,0.979558,1,0.6235628722342118,0.9872473095008156
64,4,writer-final,32,1,10-8-4,1.295667,1,0.4714297732364875,0.7463846806316747
64,4,writer-final,32,1,10-9-3,1.408717,1,0.43359737974341195,0.686487065890452
64,4,writer-final,32,1,8-10-2,1.78647,1,0.34191226273041253,0.5413278700453967
64,4,writer-final,32,1,8-7-5,1.174426,1,0.5200974774059839,0.8234371514254624
64,4,writer-final,32,1,8-8-4,1.174733,1,0.5199615572219389,0.8232219576703812
64,4,writer-final,32,1,8-9-3,1.393459,1,0.43834515403754254,0.6940039140010578
64,4,writer-final,32,1,9-7-5,1.133773,1,0.5387462922472136,0.8529626300855639
64,4,writer-final,32,1,9-8-4,1.23648,1,0.4939958592132505,0.7821121247412008
64,4,writer-final,32,1,9-9-3,1.414554,1,0.43180818830528916,0.6836543532449096
64,4,writer-final,32,2,10-8-4,1.268019,1,0.48170887029295306,0.7626589191486878
