case,backend,word_bits,logN,batch,stage_space,role_stages,target_ctas_per_sm,data_space,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,kernel_ms,kernel_ntt_s,correct
w64_n10_b160_ti1,hybrid-dataflow,64,10,160,5,5,1,16,4,1,2,hermes-xor,inplace,0.047785,3348334.006773,1
w64_n10_b160_ti2,hybrid-dataflow,64,10,160,5,5,1,16,10,2,2,hermes-xor,inplace,0.038072,4202528.479564,1
w64_n10_b160_ur1,hybrid-dataflow,64,10,160,5,1,1,16,4,1,2,hermes-xor,inplace,0.048814,3277742.771168,1
w64_n10_b256_td10_ti1,hybrid-dataflow,64,10,256,5,5,1,16,10,1,2,hermes-xor,inplace,0.042900,5967299.154481,1
w64_n10_b256_ti1,hybrid-dataflow,64,10,256,5,5,1,16,4,1,2,hermes-xor,inplace,0.053069,4823926.516270,1
w64_n10_b256_ti2,hybrid-dataflow,64,10,256,5,5,1,16,10,2,2,hermes-xor,inplace,0.045972,5568548.670231,1
w64_n10_b256_ur1,hybrid-dataflow,64,10,256,5,1,1,16,4,1,2,hermes-xor,inplace,0.066289,3861898.792754,1
w64_n10_b512_td10_ti1,hybrid-dataflow,64,10,512,5,5,1,16,10,1,2,hermes-xor,inplace,0.085652,5977643.749727,1
w64_n10_b512_ti1,hybrid-dataflow,64,10,512,5,5,1,16,4,1,2,hermes-xor,inplace,0.101304,5054078.517679,1
w64_n10_b512_ti2,hybrid-dataflow,64,10,512,5,5,1,16,10,2,2,hermes-xor,inplace,0.086897,5892057.805368,1
w64_n10_b512_ur1,hybrid-dataflow,64,10,512,5,1,1,16,4,1,2,hermes-xor,inplace,0.115436,4435376.341579,1
w64_n12_b1_td12_ti1,hybrid-dataflow,64,12,1,6,6,1,16,12,1,2,hermes-xor,inplace,0.102451,9760.744837,1
w64_n12_b1_ti1,hybrid-dataflow,64,12,1,6,6,1,16,8,1,2,hermes-xor,inplace,0.135168,7398.200700,1
w64_n12_b1_ti2,hybrid-dataflow,64,12,1,6,6,1,16,12,2,2,hermes-xor,inplace,0.107392,9311.680731,1
w64_n12_b1_ur1,hybrid-dataflow,64,12,1,6,1,1,16,4,1,2,hermes-xor,inplace,0.120904,8271.046447,1
w64_n12_b16_td12_ti1,hybrid-dataflow,64,12,16,6,6,1,16,12,1,2,hermes-xor,inplace,0.103020,155310.371282,1
w64_n12_b16_ti1,hybrid-dataflow,64,12,16,6,6,1,16,8,1,2,hermes-xor,inplace,0.135654,117946.778274,1
w64_n12_b16_ti2,hybrid-dataflow,64,12,16,6,6,1,16,12,2,2,hermes-xor,inplace,0.107617,148675.006423,1
w64_n12_b16_ur1,hybrid-dataflow,64,12,16,6,1,1,16,4,1,2,hermes-xor,inplace,0.120934,132303.136240,1
w64_n12_b80_td12_ti1,hybrid-dataflow,64,12,80,6,6,1,16,12,1,2,hermes-xor,inplace,0.107448,744544.001724,1
w64_n12_b80_ti1,hybrid-dataflow,64,12,80,6,6,1,16,8,1,2,hermes-xor,inplace,0.136760,584964.977560,1
w64_n12_b80_ti2,hybrid-dataflow,64,12,80,6,6,1,16,12,2,2,hermes-xor,inplace,0.110520,723848.754199,1
w64_n12_b80_ur1,hybrid-dataflow,64,12,80,6,1,1,16,4,1,2,hermes-xor,inplace,0.121805,656788.547160,1
