word_bits,batch,variant,data_time,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_writer_final
64,4,v06,0,9-11,0.5996545,2,1.0,1.5431602697886866
64,4,writer-final,1,8-8-4,0.9253629999999999,2,0.6480208307442593,1.0
64,16,data-time,1,8-7-5,3.370368,2,0.5637310228437963,0.9179674148342257
64,16,data-time,1,8-8-4,3.0853634999999997,2,0.6158045883410497,1.002762883530579
64,16,data-time,1,9-8-3,3.2119555,2,0.5915340358856154,0.9632412404219173
64,16,data-time,2,8-7-5,3.4129155,2,0.5567032058074687,0.9065234694500932
64,16,data-time,2,8-8-4,3.1890175,2,0.5957888283773921,0.9701696525654061
64,16,data-time,2,9-8-3,3.266816,2,0.5816002492947261,0.9470652770159078
64,16,data-time,4,8-7-5,3.4674945,2,0.5479405951473031,0.8922546236194462
64,16,data-time,4,8-8-4,3.328742,2,0.5707804930511285,0.9294466197740767
64,16,data-time,4,9-8-3,3.3025789999999997,2,0.5753022107873877,0.9368096872171718
64,16,data-time,8,8-7-5,3.6603395,2,0.51907234287967,0.8452461854972741
64,16,data-time,8,8-8-4,3.5394305,2,0.5368041553577616,0.8741202857352334
64,16,data-time,8,9-8-3,3.6421375,2,0.5216664664637181,0.8494704002800553
64,16,v06,0,9-11,1.899981,2,1.0,1.6283783890470482
64,16,writer-final,1,8-8-4,3.0938879999999997,2,0.614107879793968,1.0
