trial,variant,scan_data_time,roles,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
1,data-time,4,7-11-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-data-time","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time","256+256+256","8+8+8","32+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.788224,0.612147,0.612515,0.000368,7,11,4,8,1,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.747104,1633.593979,465.663123,1712947440.412708,fused,shoup,-1
1,data-time,8,6-12-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-data-time","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time","256+256+256","8+8+8","32+16+16","8+8+8","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.764000,0.423936,0.424287,0.000351,6,12,4,8,1,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.735104,2358.846732,520.009983,2473430070.685896,fused,shoup,-1
1,data-time,8,6-11-5,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-data-time","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time","256+256+256","8+8+8","32+16+16","8+8+8","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.781856,0.771328,0.771681,0.000353,6,11,5,8,1,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.739968,1296.465263,436.080986,1359442359.767917,fused,shoup,-1
1,data-time,8,7-11-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-data-time","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time","256+256+256","8+8+8","32+16+16","8+8+8","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.784320,0.915405,0.915707,0.000303,7,11,4,8,1,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.738336,1092.412891,410.162040,1145477939.261662,fused,shoup,-1
2,v06,0,9-11,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,3,20,0.798400,0.148480,0.148944,0.000464,0,0,0,0,0,natural,natural,"",0.736096,6734.913879,594.185535,7062069055.328189,fused,shoup,-1
2,writer-final,1,6-12-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.791264,0.174029,0.174490,0.000461,6,12,4,8,1,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.720480,5746.175381,593.199740,6025301596.058182,fused,shoup,-1
2,data-time,1,6-12-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-data-time","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.817728,0.178278,0.178789,0.000510,6,12,4,8,1,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.791584,5609.204433,559.412268,5881677147.723001,fused,shoup,-1
2,data-time,1,6-11-5,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-data-time","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.784128,0.220109,0.220507,0.000398,6,11,5,8,1,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.721120,4543.207884,579.590261,4763898750.191436,fused,shoup,-1
2,data-time,1,7-11-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-data-time","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.794880,0.225894,0.226308,0.000414,7,11,4,8,1,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.743456,4426.847109,566.819395,4641885633.801129,fused,shoup,-1
2,data-time,2,6-12-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-data-time","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time+appt-online-register-tail-grouped-writer-final-data-time","256+256+256","8+8+8","32+16+16","2+2+2","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.782816,0.264602,0.264991,0.000389,6,12,4,8,1,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.738912,3779.266809,559.807114,3962848473.201272,fused,shoup,-1
