case,word_bits,logN,batch,role_stages,data_time,full_replica_rounds,tail_replicas,tokens_per_replica,kernel_ms,token_count,packet_count,serial_slots_per_packet,serial_token_slots,token_capacity_utilization,adjacent_speedup,regret,correct
w32_n10_b80_td12,32,10,80,5,12,2,2,2.4,0.021514,32,3,3,9,0.7111111111111111,1.0343032443989961,1.0432041894971633,1
w32_n10_b80_td13,32,10,80,5,13,2,3,2.6,0.021524,32,3,3,9,0.7111111111111111,0.999535402341572,1.043689085002182,1
w32_n10_b80_td14,32,10,80,5,14,2,4,2.8,0.020961,32,3,3,9,0.7111111111111111,1.0268594055627118,1.016389468069631,1
w32_n10_b80_td15,32,10,80,5,15,3,0,3.0,0.020777,32,3,3,9,0.7111111111111111,1.00885594647928,1.0074673907772875,1
w32_n10_b80_td16,32,10,80,5,16,3,1,3.2,0.021033,32,2,4,8,0.8,0.9878286502163267,1.0198807157057654,1
w32_n10_b160_td1,32,10,160,5,1,0,1,0.2,0.088556,32,32,1,32,0.2,,3.901661012468608,1
w32_n10_b160_td2,32,10,160,5,2,0,2,0.4,0.04542,32,16,1,16,0.4,1.9497137824746806,2.00114552584042,1
w32_n10_b160_td3,32,10,160,5,3,0,3,0.6,0.033239,32,11,1,11,0.5818181818181818,1.3664671018983725,1.4644666696039124,1
w32_n10_b160_td4,32,10,160,5,4,0,4,0.8,0.02665,32,8,1,8,0.8,1.2472420262664163,1.1741639864299247,1
w32_n10_b160_td5,32,10,160,5,5,1,0,1.0,0.025989,32,7,1,7,0.9142857142857143,1.025433837392743,1.145041194871569,1
w32_n10_b160_td6,32,10,160,5,6,1,1,1.2,0.030592,32,6,2,12,0.5333333333333333,0.8495358263598327,1.3478433273119796,1
w32_n10_b160_td7,32,10,160,5,7,1,2,1.4,0.026752,32,5,2,10,0.64,1.1435406698564594,1.1786579724192625,1
w32_n10_b160_td8,32,10,160,5,8,1,3,1.6,0.023721,32,4,2,8,0.8,1.1277770751654652,1.045116094638058,1
w32_n10_b160_td9,32,10,160,5,9,1,4,1.8,0.022794,32,4,2,8,0.8,1.0406685969992104,1.0042736925584879,1
w32_n10_b160_td10,32,10,160,5,10,2,0,2.0,0.022758,32,4,2,8,0.8,1.0015818613234906,1.0026875798563688,1
w32_n10_b160_td11,32,10,160,5,11,2,1,2.2,0.02388,32,3,3,9,0.7111111111111111,0.9530150753768845,1.0521214257390845,1
w32_n10_b160_td12,32,10,160,5,12,2,2,2.4,0.023731,32,3,3,9,0.7111111111111111,1.0062787071762673,1.0455566814997577,1
w32_n10_b160_td13,32,10,160,5,13,2,3,2.6,0.023434,32,3,3,9,0.7111111111111111,1.0126738926346335,1.032471251707274,1
w32_n10_b160_td14,32,10,160,5,14,2,4,2.8,0.022973,32,3,3,9,0.7111111111111111,1.0200670352152528,1.0121601973829142,1
w32_n10_b160_td15,32,10,160,5,15,3,0,3.0,0.022697,32,3,3,9,0.7111111111111111,1.0121601973829142,1.0,1
w32_n10_b160_td16,32,10,160,5,16,3,1,3.2,0.022845,32,2,4,8,0.8,0.9935215583278616,1.006520685553157,1
w32_n10_b256_td1,32,10,256,5,1,0,1,0.2,0.093046,32,32,1,32,0.2,,3.32532790107573,1
w32_n10_b256_td2,32,10,256,5,2,0,2,0.4,0.049777,32,16,1,16,0.4,1.8692568857102678,1.7789571494942997,1
w32_n10_b256_td3,32,10,256,5,3,0,3,0.6,0.038753,32,11,1,11,0.5818181818181818,1.2844682992284469,1.3849755191022481,1
w32_n10_b256_td4,32,10,256,5,4,0,4,0.8,0.032666,32,8,1,8,0.8,1.186340537561991,1.1674350452092492,1
w32_n10_b256_td5,32,10,256,5,5,1,0,1.0,0.033633,32,7,1,7,0.9142857142857143,0.9712484761989711,1.2019942103570282,1
w32_n10_b256_td6,32,10,256,5,6,1,1,1.2,0.035523,32,6,2,12,0.5333333333333333,0.9467950342031924,1.2695400450305565,1
