"File Path","/home/wt/git/Hermes/cuNTT-v05/src/hybrid_dataflow.cuh"
"Function Name","void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int, (unsigned int)4>(const T1 *, T1 *, T1 *, unsigned int *, unsigned long, const T1 *, const T1 *, unsigned long long *, unsigned int, cuntt::<unnamed>::NttStageOperatorT<T1>)"
"Line No","Source","Address","Source","Warp Stall Sampling (All Cycles)","Warp Stall Sampling (Not-issued Cycles)","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","stall_barrier","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)","smsp__pcsamp_sample_count"
"","","0x771c2d25d5a0","     LDG.E.SYS R26, [R16] ","214","113","655360","20971520","20971520","32","32","0","Global","Load","32","983040","0","0","0","229376","1966080","1736704","0","0","6","0","0","82","0","0","0","50","1","0","11","10","0","0","0","54","0","0","0","0","60","0","0","0","37","1","0","0","0","0","0","0","15","214"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25d600","     IMAD.SHL.U32 R20, R31, 0x4, RZ ","36","6","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","2","14","0","0","0","15","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","36"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25d620","     SHF.L.U64.HI R19, R31, 0x2, R14 ","65","36","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","1","0","2","13","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","65"
"","","0x771c2d25d630","     IMAD.SHL.U32 R21, R32, 0x4, RZ ","8","0","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"","","0x771c2d25d640","     IADD3 R14, P0, R20, c[0x0][0x190], RZ ","14","1","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"","","0x771c2d25d650","     SHF.L.U64.HI R32, R32, 0x2, R15 ","50","2","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","3","0","0","0","0","5","0","0","0","0","10","21","0","0","0","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","50"
"","","0x771c2d25d660","     IADD3.X R15, R19, c[0x0][0x194], RZ, P0, !PT ","98","12","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","5","0","0","0","0","31","0","0","0","0","32","12","0","0","0","18","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","5","98"
"","","0x771c2d25d670","     IADD3 R16, P2, R21, c[0x0][0x190], RZ ","62","27","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","5","0","0","0","23","10","0","0","0","0","6","10","0","0","0","8","0","1","0","0","0","20","4","0","0","0","0","0","0","0","0","0","2","62"
"","","0x771c2d25d680","     IADD3.X R17, R32, c[0x0][0x194], RZ, P2, !PT ","115","26","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","5","0","0","0","0","21","0","0","0","0","37","9","0","0","0","43","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","19","115"
"","","0x771c2d25d690","     LDG.E.SYS R31, [R14] ","237","147","655360","20971520","20971520","32","32","0","Global","Load","32","983040","0","0","0","229376","1966080","1736704","0","0","4","0","0","123","0","0","0","64","2","0","13","15","0","0","0","16","0","1","0","0","92","0","0","0","44","2","0","0","0","0","0","0","8","237"
"","","0x771c2d25d6a0","     IADD3 R18, P0, R20, c[0x0][0x188], RZ ","14","0","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
