implementation,category,address,file,line,theoretical_sectors,theoretical_ideal,theoretical_excessive,l1_tag_requests,instructions,stall_long_scoreboard,source,sass
v07-d6,stage 2-6 coefficients,0x71b3e325dd20,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,196608.0,131072.0,65536.0,65536.0,65536.0,0.0,lane_coefficient =,"LDG.E.SYS R73, [R52+0x30]"
v07-d6,stage 2-6 coefficients,0x71b3e325e480,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,327680.0,262144.0,65536.0,131072.0,65536.0,0.0,lane_coefficient =,"LDG.E.SYS R88, [R52+0x70]"
v07-d6,stage 2-6 coefficients,0x71b3e325f380,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,65536.0,65536.0,0.0,65536.0,65536.0,0.0,lane_coefficient =,"@!P6 LDG.E.SYS R72, [R52]"
v07-d6,stage 2-6 coefficients,0x71b3e325ff00,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,131072.0,65536.0,65536.0,65536.0,65536.0,0.0,lane_coefficient =,"LDG.E.SYS R45, [R52+0x10]"
v07-d6,stage 2-6 coefficients,0x71b3e3260620,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,196608.0,131072.0,65536.0,65536.0,65536.0,0.0,lane_coefficient =,"@!P0 LDG.E.SYS R45, [R52+0x30]"
v07-d6,stage 2-6 coefficients,0x71b3e3260d30,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,327680.0,262144.0,65536.0,131072.0,65536.0,0.0,lane_coefficient =,"LDG.E.SYS R58, [R52+0x70]"
v07-d6,stage 2-6 coefficients,0x71b3e3263430,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,90112.0,65536.0,24576.0,71680.0,65536.0,0.0,lane_coefficient =,"@!P1 LDG.E.SYS R90, [R74]"
v07-d6,stage 2-6 coefficients,0x71b3e3263450,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,319488.0,262144.0,57344.0,129024.0,65536.0,0.0,lane_coefficient =,"LDG.E.SYS R84, [R74+0x70]"
v07-d6,stage 2-6 coefficients,0x71b3e32635e0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,90112.0,65536.0,24576.0,71680.0,65536.0,0.0,lane_coefficient =,"@!P1 LDG.E.SYS R54, [R74]"
v07-d6,stage 2-6 coefficients,0x71b3e3263640,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,188416.0,131072.0,57344.0,96256.0,65536.0,0.0,lane_coefficient =,"@!P3 LDG.E.SYS R86, [R74+0x30]"
