word_bits,batch,variant,data_time,role_mask,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_writer_final
32,16,data-time,1,4,6-12-4,1.73882,3,0.5892191256139221,0.9953871015976351
32,16,data-time,1,4,7-11-4,1.827874,3,0.5605123766736657,0.9468918535960356
32,16,data-time,1,6,6-11-5,1.828113,3,0.5604390975831363,0.9467680608365019
32,16,data-time,1,6,6-12-4,1.736021,3,0.5901691281384268,0.996991971871308
32,16,data-time,1,6,7-11-4,1.825792,3,0.5611515440970274,0.9479716199873808
32,16,data-time,1,7,6-11-5,1.826679,3,0.5608790597581732,0.9475113032995945
32,16,data-time,1,7,6-12-4,1.735714,3,0.5902735128022243,0.9971683122910802
32,16,data-time,1,7,7-11-4,1.82115,3,0.5625818850726189,0.9503879416851989
32,16,data-time,2,4,6-11-5,1.840606,3,0.5566351516837389,0.9403419308640741
32,16,data-time,2,4,6-12-4,1.744725,3,0.587224920832796,0.9920182263680523
32,16,data-time,2,4,7-11-4,1.835452,3,0.5581981985908647,0.9429824370236868
32,16,data-time,2,6,6-11-5,1.829683,3,0.5599582004095791,0.94595566554425
32,16,data-time,2,6,6-12-4,1.720047,3,0.5956500025871385,1.0062509919787075
32,16,data-time,2,6,7-11-4,1.80992,3,0.566072533592645,0.9562848081683168
32,16,data-time,2,7,6-11-5,1.854703,3,0.5524043472189347,0.9331946947840166
32,16,data-time,2,7,6-12-4,1.774114,3,0.5774972746959891,0.9755849962291037
32,16,data-time,2,7,7-11-4,1.857399,3,0.5516025366655198,0.9318401700442392
32,16,data-time,4,4,6-11-5,1.870575,3,0.5477171457974152,0.9252764524277294
32,16,data-time,4,4,6-12-4,1.778893,3,0.5759458269834105,0.9729640849674488
32,16,data-time,4,4,7-11-4,1.866138,3,0.5490194187139429,0.9274764245731023
32,16,data-time,4,6,6-11-5,1.922901,3,0.5328126617022925,0.9000978209486604
32,16,data-time,4,6,6-12-4,1.766366,3,0.5800304127230709,0.9798643089823965
32,16,data-time,4,6,7-11-4,1.924437,3,0.5323873943392275,0.8993794029110852
32,16,data-time,4,7,6-11-5,1.996288,3,0.5132255466145165,0.8670086680879713
32,16,data-time,4,7,6-12-4,1.860779,3,0.5506005817993431,0.930147534984004
32,16,data-time,4,7,7-11-4,1.993865,3,0.5138492325207574,0.868062281047112
32,16,v06,0,0,9-11,1.024546,3,1.0,1.6893326409941574
32,16,writer-final,1,0,6-12-4,1.730799,3,0.5919497295757624,1.0
64,4,data-time,1,4,8-7-5,1.056836,3,0.550320011808833,0.8575029616704957
64,4,data-time,1,4,8-8-4,0.912759,3,0.6371868149204774,0.992857917588323
64,4,data-time,1,4,9-8-3,0.946722,3,0.614328176592495,0.9572398233061026
64,4,data-time,1,6,8-7-5,1.056461,3,0.5505153526727441,0.8578073397882174
64,4,data-time,1,6,8-8-4,0.913988,3,0.636330017461936,0.991522864632796
64,4,data-time,1,6,9-8-3,0.947098,3,0.6140842869481299,0.9568597969798268
64,4,data-time,1,7,8-7-5,1.080832,3,0.5381021287304595,0.8384651823780199
64,4,data-time,1,7,8-8-4,0.935083,3,0.6219747337936846,0.9691546098046911
64,4,data-time,1,7,9-8-3,0.967817,3,0.600937987243456,0.9363753684839179
64,4,data-time,2,4,8-7-5,1.108412,3,0.5247128324124964,0.8176021190676391
64,4,data-time,2,4,8-8-4,0.961911,3,0.6046276630582247,0.9421245832514651
64,4,data-time,2,4,9-8-3,1.009698,3,0.5760118372028071,0.8975356987931046
64,4,data-time,2,6,8-7-5,1.090628,3,0.5332689056213484,0.8309341040208028
64,4,data-time,2,6,8-8-4,0.967714,3,0.6010019489229256,0.9364750329126168
64,4,data-time,2,6,9-8-3,1.014135,3,0.5734916948926917,0.8936088390598885
64,4,data-time,2,7,8-7-5,1.119607,3,0.519466205552484,0.8094268792531666
64,4,data-time,2,7,8-8-4,0.999799,3,0.5817149246998646,0.906422190860363
64,4,data-time,2,7,9-8-3,1.048542,3,0.554673060306597,0.8642858369049594
64,4,data-time,4,4,8-7-5,1.164868,3,0.49928232211718404,0.7779765604343153
64,4,data-time,4,4,8-8-4,1.020484,3,0.5699236832718592,0.8880492001834425
64,4,data-time,4,4,9-8-3,1.10633,3,0.5257002883407301,0.8191407627019063
64,4,data-time,4,6,8-7-5,1.257404,3,0.46253869082649646,0.7207230134467523
64,4,data-time,4,6,8-8-4,1.041135,3,0.5586191992392917,0.8704346698554943
64,4,data-time,4,6,9-8-3,1.11872,3,0.5198780749427917,0.8100686498855836
64,4,data-time,4,7,8-7-5,1.372535,3,0.42374001391585636,0.6602673155875807
64,4,data-time,4,7,8-8-4,1.153911,3,0.5040232738920073,0.7853638625509247
64,4,data-time,4,7,9-8-3,1.212041,3,0.4798501040806375,0.7476974788806651
