trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.771136,0.228250,2.591936,71781064.765095,73.503810,18375952579.864223,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.780416,0.228311,2.599552,71761748.799725,73.484031,18371007692.729557,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.796160,0.228280,2.629312,71771407.825240,73.493922,18373480403.261356,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.786496,0.228321,2.590752,71758531.263351,73.480736,18370184003.417747,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.791776,0.228383,2.601760,71739227.421777,73.460969,18365242219.974876,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.789888,0.194273,2.599072,84334810.009834,86.358845,21589711362.517494,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.781760,0.194181,2.597952,84374837.623397,86.399834,21599958431.589729,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.785120,0.194171,2.592384,84379286.042601,86.404389,21601097226.905895,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.787392,0.194232,2.600416,84352596.089671,86.377058,21594264598.955868,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.790784,0.194243,2.600576,84348150.484101,86.372506,21593126523.929878,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.787008,0.207319,2.599040,79027957.616163,80.924629,20231157149.737602,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.784064,0.207340,2.603968,79020153.826860,80.916638,20229159379.676147,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.819168,0.207380,2.609120,79004539.517337,80.900648,20225162116.438168,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.785888,0.207329,2.599968,79024055.528851,80.920633,20230158215.385891,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.783136,0.207380,2.591392,79004539.517337,80.900648,20225162116.438168,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.784288,0.052419,2.598880,312561048.333736,320.062513,80015628373.436432,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.781632,0.052449,2.601024,312377986.087039,319.875058,79968764438.281998,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.781472,0.052470,2.590368,312256048.892617,319.750194,79937548516.510056,0.000000,-1
