trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,128,0,0,12,4096,1024,1,4096,20,100,2.771872,0.114135,2.594208,8971828.900228,220.491667,36748611175.333031,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,128,0,0,12,4096,1024,1,4096,20,100,2.772672,0.114125,2.591776,8972633.095637,220.511431,36751905159.728447,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,128,0,0,12,4096,1024,1,4096,20,100,2.775360,0.114094,2.597536,8975049.477557,220.570816,36761802660.074463,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,256,0,0,12,4096,1024,1,4096,20,100,2.708480,0.133007,2.600640,7698821.936387,189.206248,31534374651.442032,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,256,0,0,12,4096,1024,1,4096,20,100,2.768288,0.133120,2.593440,7692307.671367,189.046153,31507692221.918053,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,256,0,0,12,4096,1024,1,4096,20,100,2.780512,0.133069,2.598432,7695267.412131,189.118892,31519815320.087936,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,256,0,0,12,4096,1024,1,4096,20,100,2.782656,0.121303,2.600576,8441667.777183,207.462427,34577071215.340515,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,256,0,0,12,4096,1024,1,4096,20,100,2.789408,0.121262,2.602304,8444519.439470,207.532510,34588751624.068558,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,256,0,0,12,4096,1024,1,4096,20,100,2.769888,0.121405,2.593280,8434548.075756,207.287454,34547908918.296074,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,256,0,0,12,4096,1024,1,4096,20,100,2.817920,0.114207,2.605536,8966197.131930,220.353261,36725543452.386124,0.000000,-1
