suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,library,library_version,plan_ms,max_abs_error,relative_l2_error,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply
ntt16_60_inverse,ntt-u60-inverse-log16,full,ntt,cuNTT-Hybrid2D-radix2,0,5,64,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,inverse,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,64,1,65536,1000,100,5.468928,0.309002,5.102144,,,,,-1,natural,,,,,,64,1152921504606584833,60,8,4,256,1,207118.232668,5882.313000,13573700496.106485,shoup
xor8_r2,xor-u32-fwd-log8,quick,butterfly,cuButterfly-radix2,0,2,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,temporal-tile,radix2,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,1000,100,2.782528,0.050145,2.605472,326730653.920492,334.572190,83643047403.646042,0.000000,-1,,,,,,,,,,,,,,,,,
fwht8_shared,fwht-fp32-fwd-log8,quick,butterfly,cuButterfly-shared-radix4,0,5,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,1000,100,2.772896,0.048394,2.599488,338552684.191266,346.677949,86669487152.964005,0.000000,-1,,,,,,,,,,,,,,,,,
fft8_stride_cufft,fft-fp32-stride2-log8,full,butterfly,cuFFT,1,3,16384,1,0.000007,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,8,256,16384,2,518,1000,100,11.004832,0.171643,10.224384,95454008.824215,97.744905,24436226258.999104,0.000000,-1,,,,,,,,,,,,,,,,,
xor20_online,xor-u32-fwd-log20,quick,butterfly,cuButterfly-online-radix4,0,5,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,1000,100,2.773920,0.319345,2.596256,12525.652545,131.340986,13134098643.127274,0.000000,-1,,,,,,,,,,,,,,,,,
fft18_cub,fft-fp32-fwd-log18,quick,butterfly,cuButterfly-cuFFTDx-online,0,3,16,1,0.000512,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,18,262144,16,1,262144,1000,100,5.478560,0.205496,5.114752,77860.278404,183.695443,20410604821.845337,0.000000,-1,,,,,,,,,,,,,,,,,
ntt20_60_compact,ntt-u60-bitrev-log20,quick,ntt,cuNTT-compact-stage,0,5,4,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,compact-stage,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,5.493280,0.341924,5.113792,,,,,-1,bit-reversed,,,,,,64,1152921504577486849,60,0,0,256,0,11698.511818,365.330310,12266778728.197012,shoup
fft8_stride_cub,fft-fp32-stride2-log8,full,butterfly,cuButterfly-scalar,0,2,16384,1,0.000005,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,2,518,1000,100,11.018240,0.172892,10.248416,94764277.561332,97.038620,24259655055.700985,0.000000,-1,,,,,,,,,,,,,,,,,
ntt12_30_hybrid,ntt-u30-natural-log12,quick,ntt,cuNTT-Hybrid2D-radix4,0,5,1024,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint32,forward,,,hybrid2d,radix4,,fused,,,0,named-barrier,,,,,,,,,,,,12,4096,1024,1,4096,1000,100,2.818784,0.139848,2.600096,,,,,-1,natural,,,,,,32,1073692673,30,6,4,256,0,7322252.276314,184214.817021,29991945323.782082,shoup
fft14_vkfft,fft-fp32-fwd-log14,quick,fft-library,VkFFT,0,1,256,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,14,16384,256,1,16384,1000,100,,0.172052473,,1487918.166995576,170.646358736,24378051248.055515289,,-1,,vkfft,10304,365.361929000,0.000000000,0.000000000,,,,,,,,,,,
ntt16_60_r2,ntt-u60-natural-log16,quick,ntt,cuNTT-Hybrid2D-radix2,0,5,64,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,64,1,65536,1000,100,5.476032,0.303862,5.098080,,,,,-1,natural,,,,,,64,1152921504606584833,60,8,4,256,0,210622.109183,5883.448693,13803330547.443935,shoup
fft3_mixed,fft-mixed-fwd-log3,full,butterfly,cuButterfly-WMMA,0,5,524288,1,0.000790,Tesla V100-SXM2-16GB,7.0,fft,fp16-fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,table,shared,wmma-dft8,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,3,8,524288,1,8,1000,100,5.511424,0.087306,5.104736,6005160773.632803,72.061929,48041286189.062424,0.000000,-1,,,,,,,,,,,,,,,,,
xor8_r2,xor-u32-fwd-log8,quick,butterfly,cuButterfly-radix2,0,4,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,temporal-tile,radix2,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,1000,100,2.792864,0.049705,2.595264,329625041.697651,337.536043,84384010674.598770,0.000000,-1,,,,,,,,,,,,,,,,,
