trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,5.523392,0.521677,5.101824,122681.327983,64.320348,8040043510.661218,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,5.526848,0.521912,5.105696,122625.957546,64.291318,8036414753.743959,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,5.518432,0.420168,5.101984,152320.138727,79.859621,9982452611.608280,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,5.524128,0.420035,5.109088,152368.415515,79.884932,9985616479.167158,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,5.519744,0.420116,5.104128,152338.713077,79.869359,9983669900.196846,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,5.523776,0.420239,5.111552,152294.159526,79.846000,9980750038.691025,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,5.519264,0.420280,5.101216,152279.321332,79.838221,9979777602.801592,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,0,16,65536,64,1,65536,50,100,5.457536,0.179302,5.107104,356938.873565,187.138768,23392346017.986698,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,0,16,65536,64,1,65536,50,100,5.449888,0.179180,5.103488,357183.679301,187.267117,23408389606.670498,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,0,16,65536,64,1,65536,50,100,5.461056,0.179272,5.112352,357000.050953,187.170843,23396355339.249134,0.000000,-1
