operator,precision,accumulation,logN,batch,quick_winner,quick_margin,full_winner,full_margin,trial_ranges_non_overlapping,status
ntt,uint64,native,15,320,ntt-hybrid-r4-t256,0.08539792367106536,ntt-hybrid-r4-t256,0.08940173016020125,1,stable-same-direction
ntt,uint64,native,15,321,ntt-hybrid-r4-t256,0.07502461922268888,ntt-hybrid-r4-t256,0.08695887213586029,1,stable-same-direction
fft,fp64,native,8,720,temporal-r4-t128,0.019154929577464896,temporal-r4-t128,0.13572261690170717,1,stable-same-direction
fft,fp16,fp32,8,800,temporal-r4-t128,0.08795928105614759,temporal-r4-t128,0.024613899613899592,1,near-tie
fft,fp16,native,8,800,temporal-r4-t128,0.15025146689019264,temporal-r4-t128,0.15668789808917194,1,stable-same-direction
fwht,bf16,native,8,960,temporal-r4-t128,0.039811346927451696,temporal-r4-t128,0.0440783615316116,1,near-tie
fwht,fp16,fp32,8,960,temporal-r4-t128,0.02024612941643511,temporal-r4-t128,0.11819021237303784,1,stable-same-direction
fwht,fp16,native,8,960,temporal-r4-t128,0.05639614855570829,temporal-r4-t128,0.11285574092247308,1,stable-same-direction
fwht,fp32,native,8,960,temporal-r4-t128,0.14508138711960372,temporal-r4-t128,0.13809411208323463,1,stable-same-direction
structured-2x2,fp16,fp32,8,960,temporal-r4-t128,0.06130335499736517,temporal-r4-t128,0.2293178519593615,1,stable-same-direction
fft,bf16,native,8,1280,temporal-r2-t128,0.029571556289113454,temporal-r2-t128,0.1992522011820046,1,stable-same-direction
fft,fp16,native,8,1280,temporal-r4-t128,0.0811718034787916,temporal-r4-t128,0.17972350230414724,1,stable-same-direction
fft,fp32,native,8,1280,temporal-r4-t128,0.14407224614092207,temporal-r4-t128,0.15047923322683698,1,stable-same-direction
fwht,bf16,fp32,8,1280,temporal-r4-t128,0.09402948996857607,temporal-r4-t128,0.05851658591129327,1,stable-same-direction
structured-2x2,bf16,fp32,8,1280,temporal-r4-t128,0.1880738900291672,temporal-r4-t128,0.1216418770898191,1,stable-same-direction
fft,bf16,fp32,8,1281,temporal-r2-t128,0.11441850749386395,temporal-r2-t128,0.013102376193648624,1,near-tie
fft,bf16,native,8,1281,temporal-r2-t128,0.15699167379970436,temporal-r2-t128,0.16626430963320615,1,stable-same-direction
fft,fp32,native,8,1281,temporal-r4-t128,0.08721717269386975,temporal-r4-t128,0.1490657582326831,1,stable-same-direction
fwht,bf16,fp32,8,1281,temporal-r4-t128,0.13848235149428123,temporal-r4-t128,0.07333333333333347,0,near-tie
fwht,bf16,native,8,1281,temporal-r4-t128,0.07355738744451501,temporal-r4-t128,0.07836835599505565,1,stable-same-direction
fwht,fp32,native,8,1281,temporal-r4-t128,0.0867882808181315,temporal-r4-t128,0.14253064616663225,1,stable-same-direction
fwht,fp64,native,8,1281,temporal-r4-t128,0.04681194511702991,temporal-r4-t128,0.19361339327236093,1,stable-same-direction
