trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,8x8,recurrence,direct-strided,global-scratch,2,128x128,8x8,shared,cufftdx-block,0,named-barrier,32,128,128,8,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.955296,0.368128,10.131168,173852.572220,91.148817,11393602173.010008,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,8x8,recurrence,direct-strided,global-scratch,2,128x128,8x8,shared,cufftdx-block,0,named-barrier,32,128,128,8,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.939040,0.368271,10.111872,173784.886256,91.113330,11389166305.700745,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x4,recurrence,direct-strided,global-scratch,2,128x256,8x4,shared,cufftdx-block,0,named-barrier,32,128,256,8,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.938752,0.369787,10.139264,173072.672862,90.739926,11342490688.686031,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x4,recurrence,direct-strided,global-scratch,2,128x256,8x4,shared,cufftdx-block,0,named-barrier,32,128,256,8,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.939200,0.369705,10.109696,173111.011798,90.760026,11345003269.209463,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x4,recurrence,direct-strided,global-scratch,2,128x256,8x4,shared,cufftdx-block,0,named-barrier,32,128,256,8,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.947776,0.369500,10.115616,173206.961432,90.810331,11351291424.430054,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x8,recurrence,direct-strided,global-scratch,2,128x256,8x8,shared,cufftdx-block,0,named-barrier,32,128,256,8,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.956192,0.374559,10.122080,170867.736067,89.583904,11197987950.874695,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x8,recurrence,direct-strided,global-scratch,2,128x256,8x8,shared,cufftdx-block,0,named-barrier,32,128,256,8,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.922912,0.374845,10.108032,170737.048870,89.515386,11189423234.752548,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x8,recurrence,direct-strided,global-scratch,2,128x256,8x8,shared,cufftdx-block,0,named-barrier,32,128,256,8,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.946496,0.374641,10.119264,170830.370634,89.564313,11195539169.839058,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x4,recurrence,direct-strided,global-scratch,2,128x512,8x4,shared,cufftdx-block,0,named-barrier,32,128,512,8,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.942976,0.373596,10.132256,171307.969882,89.814713,11226839114.173344,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x4,recurrence,direct-strided,global-scratch,2,128x512,8x4,shared,cufftdx-block,0,named-barrier,32,128,512,8,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.919872,0.374047,10.123392,171101.623825,89.706528,11213316018.964977,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x4,recurrence,direct-strided,global-scratch,2,128x512,8x4,shared,cufftdx-block,0,named-barrier,32,128,512,8,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.937952,0.374047,10.113184,171101.623825,89.706528,11213316018.964977,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x8,recurrence,direct-strided,global-scratch,2,128x512,8x8,shared,cufftdx-block,0,named-barrier,32,128,512,8,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.944512,0.389878,10.123232,164154.013181,86.063979,10757997407.862497,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x8,recurrence,direct-strided,global-scratch,2,128x512,8x8,shared,cufftdx-block,0,named-barrier,32,128,512,8,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.937600,0.389939,10.112192,164128.155908,86.050423,10756302825.618832,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x8,recurrence,direct-strided,global-scratch,2,128x512,8x8,shared,cufftdx-block,0,named-barrier,32,128,512,8,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.939616,0.389775,10.114944,164197.139301,86.086590,10760823721.221642,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x4,recurrence,direct-strided,global-scratch,2,256x128,4x4,shared,cufftdx-block,0,named-barrier,32,256,128,4,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.960064,0.381256,10.116896,167866.348759,88.010312,11001289032.277956,0.000000,-1
