event_type,axis,operator,precision,accumulation,logN,batch,from_mapping,to_mapping,relative_margin,trial_ranges_non_overlapping,classification,reason
winner-crossover,batch,fwht,bf16,fp32,8,961,temporal-r4-t128,temporal-r2-t128,0.06168786759677203,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,bf16,fp32,8,1279,temporal-r2-t128,temporal-r4-t128,0.16233539214543757,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,bf16,fp32,15,4,online-r2-t256,online-r4-t256,0.07226432887429723,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,bf16,fp32,15,5,online-r4-t256,online-r2-t256,0.07693531958237854,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,bf16,fp32,15,9,online-r2-t256,hier-r4-t256,0.1218234991898195,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,bf16,native,20,2,online-r4-t256,hier-r4-t256,0.04723327540562927,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp16,native,15,8,online-r4-t256,hier-r4-t256,0.024533503815878932,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp32,native,15,6,online-r4-t256,online-r2-t256,0.07038607453693357,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp32,native,15,7,online-r2-t256,online-r4-t256,0.19069585273510592,1,confirmed,winner changes along batch
winner-crossover,batch,fwht,fp32,native,15,9,online-r4-t256,hier-r4-t256,0.25184652852637046,1,confirmed,winner changes along batch
winner-crossover,batch,subset-zeta,uint32,native,20,2,online-r4-t256,online-r2-t256,0.02455597650411878,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp16,native,8,1281,temporal-r4-t128,temporal-r2-t128,0.004053271569195216,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp16,native,20,2,hier-r4-t256,online-r4-t256,0.23242874040015327,1,confirmed,winner changes along batch
winner-crossover,length,fft,fp64,native,20,1,online-r2-t256,online-r4-t256,0.07694493459294671,1,confirmed,winner changes along length
winner-crossover,length,fft,fp16,native,20,1,online-r4-t256,hier-r4-t256,0.12402530062301609,0,ambiguous,winner changes along length
winner-crossover,length,fwht,fp32,native,20,1,online-r4-t256,online-r2-t256,0.11635169848324955,0,ambiguous,winner changes along length
winner-crossover,length,fft,bf16,native,20,1,online-r2-t256,online-r4-t256,0.06991423700891097,0,ambiguous,winner changes along length
winner-crossover,length,fwht,bf16,fp32,20,1,online-r4-t256,hier-r4-t256,0.17985944049332403,0,ambiguous,winner changes along length
