trial,implementation,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.778656,0.044974,2.603840,22768671.578877,559.562873,93260478787.080566,0.000000,-1
4,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.771680,0.045015,2.602208,22747952.287528,559.053675,93175612569.715088,0.000000,-1
4,structured-broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.771040,0.047483,2.599616,21565666.687562,529.997825,88332970752.253815,0.000000,-1
5,structured-broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.772992,0.047462,2.604224,21574973.009023,530.226537,88371089444.957764,0.000000,-1
5,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.775456,0.044964,2.604896,22773855.413583,559.690271,93281711774.037369,0.000000,-1
1,structured-broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.759936,0.080538,2.591136,1589319.872672,390.591252,52078833587.720070,0.000000,-1
1,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.774720,0.069325,2.600896,1846381.122834,453.766625,60502216633.023369,0.000000,-1
2,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.773600,0.069253,2.598208,1848292.262202,454.236306,60564840847.840286,0.000000,-1
2,structured-broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.772576,0.080497,2.602688,1590128.501873,390.789981,52105330749.368301,0.000000,-1
3,structured-broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.771104,0.080466,2.598368,1590735.550794,390.939169,52125222528.404709,0.000000,-1
3,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.763040,0.069222,2.592224,1849112.476729,454.437882,60591717637.439674,0.000000,-1
4,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.770976,0.069294,2.599264,1847199.641653,453.967784,60529037857.700027,0.000000,-1
4,structured-broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.759424,0.080558,2.594944,1588915.645972,390.491909,52065587887.201668,0.000000,-1
5,structured-broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.774208,0.080538,2.601568,1589319.872672,390.591252,52078833587.720070,0.000000,-1
5,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.763840,0.069192,2.595488,1849933.419549,454.639637,60618618291.793358,0.000000,-1
