suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,accumulation,storage_bits,compute_bits,accumulator_bits,emulated_native,coefficient_policy,arithmetic_pipeline,mapping_id,ctas_per_transform,estimated_registers_per_thread,estimated_shared_bytes_per_cta,resident_ctas_per_sm,resident_warps_per_sm,occupancy_upper_bound,total_ctas,grid_waves,grid_concurrent_fraction,limiting_resource,working_set_bytes,working_set_over_l2,resource_cliff,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply
structured-2x2-fp64-log15-online-r4-t256-b7,structured-2x2-fp64-log15-b7,full,butterfly,cuButterfly-online-r4-t256,0,4,7,-1,,native,64,64,64,0,broadcast,floating-fma,online-r4-t256,64,50,8192,4,32,0.5,448,1.4,1.0,register,3670016,0.5833333333333334,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp64,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,7,1,32768,1000,100,0.396416,0.027228,0.344864,257086.782350,63.181648,8424219684.045301,0.000000,-1,,,,,,,,,,,,
fft-fp16-fp32-log20-online-r2-t256-b1,fft-fp16-fp32-log20-b1,full,butterfly,cuButterfly-online-r2-t256,0,1,1,-1,,fp32,16,32,32,0,per-stage-twiddle,floating-complex,online-r2-t256,512,38,2048,6,48,0.75,512,1.0666666666666667,1.0,register,8388608,1.3333333333333333,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,1,1,1048576,1000,100,0.744064,0.146084,0.761632,6845.383817,71.779052,7177905180.971612,0.000000,-1,,,,,,,,,,,,
fft-fp16-native-log15-hier-r4-t256-b5,fft-fp16-native-log15-b5,full,butterfly,cuButterfly-hier-r4-t256,0,4,5,-1,,native,16,16,16,0,per-stage-twiddle,floating-complex,hier-r4-t256,64,48,4096,5,40,0.625,320,0.8,0.8,register,1310720,0.20833333333333334,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,5,1,32768,1000,100,0.194080,0.023972,0.169600,208578.074704,51.260148,6834686351.905079,0.000000,-1,,,,,,,,,,,,
fft-fp16-native-log8-temporal-r2-t128-b1280,fft-fp16-native-log8-b1280,full,butterfly,cuButterfly-temporal-r2-t128,0,5,1280,-1,,native,16,16,16,0,per-stage-twiddle,floating-complex,temporal-r2-t128,1,32,1024,16,64,1.0,1280,1.0,1.0,register+thread+warp,2621440,0.4166666666666667,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1280,1,256,1000,100,0.320384,0.006646,0.277728,192604005.198834,197.226501,49306625330.901566,0.000000,-1,,,,,,,,,,,,
fft-fp64-log8-temporal-r2-t128-b720,fft-fp64-log8-b720,full,butterfly,cuButterfly-temporal-r2-t128,0,4,720,-1,,native,64,64,64,0,per-stage-twiddle,floating-complex,temporal-r2-t128,1,36,4096,12,48,0.75,720,0.75,0.75,register,5898240,0.9375,0,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,720,1,256,1000,100,0.563776,0.010660,0.544128,67543227.932129,69.164265,17291066350.624973,0.000000,-1,,,,,,,,,,,,
fwht-bf16-native-log15-hier-r4-t256-b1,fwht-bf16-native-log15-b1,full,butterfly,cuButterfly-hier-r4-t256,0,3,1,-1,,native,16,32,16,1,implicit-sign,floating-add,hier-r4-t256,64,44,2048,5,40,0.625,64,0.16,0.16,register,131072,0.020833333333333332,0,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,1,1,32768,1000,100,0.033792,0.018934,0.036960,52815.711189,12.979989,1730665224.239485,0.000000,-1,,,,,,,,,,,,
fwht-fp16-fp32-log15-hier-r4-t256-b9,fwht-fp16-fp32-log15-b9,full,butterfly,cuButterfly-hier-r4-t256,0,1,9,-1,,fp32,16,32,32,0,implicit-sign,floating-add,hier-r4-t256,64,44,2048,5,40,0.625,576,1.44,1.0,register,1179648,0.1875,0,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,9,1,32768,1000,100,0.142304,0.025272,0.149792,356120.859616,87.520262,11669368327.880959,0.000000,-1,,,,,,,,,,,,
fft-fp32-log8-temporal-r2-t128-b1281,fft-fp32-log8-b1281,full,butterfly,cuButterfly-temporal-r2-t128,0,4,1281,-1,,native,32,32,32,0,per-stage-twiddle,floating-complex,temporal-r2-t128,1,32,2048,16,64,1.0,1281,1.00078125,1.0,register+thread+warp,5246976,0.833984375,0,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1281,1,256,1000,100,0.507296,0.011131,0.454272,115085234.504370,117.847280,29461820033.118660,0.000000,-1,,,,,,,,,,,,
fwht-fp16-fp32-log15-online-r2-t256-b8,fwht-fp16-fp32-log15-b8,full,butterfly,cuButterfly-online-r2-t256,0,5,8,-1,,fp32,16,32,32,0,implicit-sign,floating-add,online-r2-t256,64,36,1024,6,48,0.75,512,1.0666666666666667,1.0,register,1048576,0.16666666666666666,0,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,8,1,32768,1000,100,0.123552,0.026737,0.153056,299214.845628,73.535040,9804672061.538269,0.000000,-1,,,,,,,,,,,,
fft-fp16-fp32-log15-online-r4-t256-b1,fft-fp16-fp32-log15-b1,full,butterfly,cuButterfly-online-r4-t256,0,2,1,-1,,fp32,16,32,32,0,per-stage-twiddle,floating-complex,online-r4-t256,64,50,4096,4,32,0.5,64,0.2,0.2,register,262144,0.041666666666666664,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,1,1,32768,1000,100,0.037344,0.011325,0.047904,88296.787354,21.699818,2893309128.015158,0.000000,-1,,,,,,,,,,,,
