trial,device,compute_capability,operator,backend,stage_space,stage_handoff,logN,N,batch,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
5,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,4,named-barrier,8,256,16384,20,100,2.762400,0.186481,2.588288,87858985.683811,89.967601,22491900335.055706,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,8,named-barrier,8,256,16384,20,100,2.761568,0.198605,2.589120,82495491.702895,84.475384,21118845875.940998,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,8,named-barrier,8,256,16384,20,100,2.760352,0.198574,2.589312,82508250.383290,84.488448,21122112098.122169,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,8,named-barrier,8,256,16384,20,100,2.760320,0.198554,2.591392,82516758.362942,84.497161,21124290140.913116,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,8,named-barrier,8,256,16384,20,100,2.765152,0.198584,2.590400,82503990.860500,84.484087,21121021660.288101,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,8,named-barrier,8,256,16384,20,100,2.777248,0.198584,2.592768,82503990.860500,84.484087,21121021660.288101,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fft,temporal-tile,4,named-barrier,8,256,16384,20,100,5.483296,0.129894,5.102336,126133222.781151,129.160420,32290105031.974747,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fft,temporal-tile,4,named-barrier,8,256,16384,20,100,5.477536,0.129915,5.111776,126113344.563477,129.140065,32285016208.250099,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fft,temporal-tile,4,named-barrier,8,256,16384,20,100,5.465600,0.129976,5.098144,126053733.034201,129.079023,32269755656.755474,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fft,temporal-tile,4,named-barrier,8,256,16384,20,100,5.480704,0.129946,5.119008,126083524.523703,129.109529,32277382278.067936,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fft,temporal-tile,4,named-barrier,8,256,16384,20,100,5.528608,0.129894,5.114400,126133222.781151,129.160420,32290105031.974747,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,1,named-barrier,8,256,16384,20,100,5.480096,0.760259,5.114144,21550563.138503,22.067777,5516944163.456872,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,1,named-barrier,8,256,16384,20,100,5.489504,0.756204,5.103776,21666124.663454,22.186112,5546527913.844340,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,1,named-barrier,8,256,16384,20,100,5.465152,0.753592,5.097664,21741198.432894,22.262987,5565746798.820961,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,1,named-barrier,8,256,16384,20,100,5.459904,0.753510,5.099584,21743561.418395,22.265407,5566351723.109204,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,1,named-barrier,8,256,16384,20,100,5.459840,0.753582,5.096992,21741494.207906,22.263290,5565822517.223866,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,2,named-barrier,8,256,16384,20,100,5.472352,0.397691,5.113824,41197825.548781,42.186573,10546643340.488052,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,2,named-barrier,8,256,16384,20,100,5.456768,0.397681,5.097728,41198887.607176,42.187661,10546915227.437037,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,2,named-barrier,8,256,16384,20,100,5.474688,0.397834,5.116160,41182980.989133,42.171373,10542843133.218100,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,2,named-barrier,8,256,16384,20,100,5.487136,0.397701,5.096832,41196766.632283,42.185489,10546372257.864527,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,2,named-barrier,8,256,16384,20,100,5.494816,0.397722,5.117536,41194645.875761,42.183317,10545829344.194767,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,4,named-barrier,8,256,16384,20,100,5.507296,0.314051,5.109216,52169944.383774,53.422023,13355505762.246119,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,4,named-barrier,8,256,16384,20,100,5.469856,0.316764,5.092352,51723020.615792,52.964373,13241093277.642851,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,4,named-barrier,8,256,16384,20,100,5.466240,0.316836,5.096544,51711319.837457,52.952392,13238097878.388866,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,4,named-barrier,8,256,16384,20,100,5.447168,0.314051,5.095200,52169944.383774,53.422023,13355505762.246119,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,4,named-barrier,8,256,16384,20,100,5.447840,0.314122,5.099232,52158040.548973,53.409834,13352458380.537056,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,8,named-barrier,8,256,16384,20,100,5.447136,0.325345,5.093984,50358806.838942,51.567418,12891854550.769201,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,8,named-barrier,8,256,16384,20,100,5.469696,0.325038,5.108768,50406402.319064,51.616156,12904038993.680447,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,8,named-barrier,8,256,16384,20,100,5.449856,0.325253,5.095552,50373078.811983,51.582033,12895508175.867668,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,8,named-barrier,8,256,16384,20,100,5.450464,0.325089,5.091584,50398463.492280,51.608027,12902006654.023685,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fft,stage-pipeline,8,named-barrier,8,256,16384,20,100,5.494272,0.313119,5.099680,52325200.119811,53.581005,13395251230.671694,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fft,cufft,4,named-barrier,8,256,16384,20,100,5.502816,0.083804,5.099712,195503420.478158,200.195503,50048875642.408371,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fft,cufft,4,named-barrier,8,256,16384,20,100,5.479456,0.083804,5.122624,195503420.478158,200.195503,50048875642.408371,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fft,cufft,4,named-barrier,8,256,16384,20,100,5.626240,0.083753,5.112608,195622936.867212,200.317887,50079471838.006355,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fft,cufft,4,named-barrier,8,256,16384,20,100,5.482208,0.083743,5.108896,195646850.719740,200.342375,50085593784.253365,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fft,cufft,4,named-barrier,8,256,16384,20,100,5.480320,0.083773,5.099392,195575109.301850,200.268912,50067227981.273727,0.000000,-1
