case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
ntt16_searched_b4,ntt16-batch4,5,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029399,136058.868099,1
fwht8_base_b65536,fwht8-batch65536,1,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.187924,348735842.854535,1
fwht15_baseline_b512,fwht15-batch512,5,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.208077,2460629.905886,1
ntt16_base_b256,ntt16-batch256,4,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.162977,220124.667671,1
fft20_base_b4,fft20-batch4,1,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,online-reorder,0.768358,5205.903848,1
fwht15_base_b256,fwht15-batch256,5,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,hierarchical,0.699269,366096.534467,1
fwht8_baseline_b65536,fwht8-batch65536,2,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.164833,397589616.213171,1
fft8_searched_b16384,fft8-batch16384,3,cuButterfly-searched-cuFFTDx,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,temporal-tile,0.084316,194316257.060635,1
ntt16_base_b256,ntt16-batch256,3,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.163397,220045.227503,1
fwht15_base_b256,fwht15-batch256,2,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,hierarchical,0.699320,366069.730891,1
