trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,4,16,262144,1,16,10,50,5.389440,0.426885,5.173056,614085619.511519,19.650740,9825369912.184311,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,4,16,262144,1,16,10,50,5.514432,0.464261,8.167840,564647727.173012,18.068727,9034363634.768194,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,4,16,262144,1,16,10,50,5.476096,0.427028,5.176864,613879434.279932,19.644142,9822070948.478920,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,4,16,262144,1,16,10,50,5.478688,0.427110,7.734752,613761682.418251,19.640374,9820186918.692020,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,4,16,262144,1,16,10,50,5.459680,0.427213,5.526944,613614566.802394,19.635666,9817833068.838303,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,4,16,262144,1,16,10,50,5.467904,0.546611,5.270944,479580376.090848,15.346572,7673286017.453575,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,4,16,262144,1,16,10,50,5.482176,0.426824,5.216768,614173947.374731,19.653566,9826783157.995695,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,4,16,262144,1,16,10,50,5.490080,0.426844,7.320128,614144487.637296,19.652624,9826311802.196737,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,4,16,262144,1,16,10,50,5.462656,0.426906,5.172000,614056125.379496,19.649796,9824898006.071941,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,4,16,262144,1,16,10,50,5.516576,0.465388,5.189952,563281108.638205,18.024995,9012497738.211277,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,8,256,16384,1,256,10,50,5.460384,0.113766,5.152928,144014398.900603,147.470744,36867686118.554489,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,8,256,16384,1,256,10,50,5.491744,0.104448,7.052800,156862736.752301,160.627442,40156860608.589027,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,8,256,16384,1,256,10,50,5.467200,0.099185,5.346464,165186868.057201,169.151353,42287838222.643555,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,8,256,16384,1,256,10,50,5.460288,0.090706,5.176096,180627688.589001,184.962753,46240688278.784348,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,8,256,16384,1,256,10,50,5.486176,0.103547,5.973696,158227847.817648,162.025316,40506329041.317902,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,16384,1,256,10,50,5.518304,0.095642,5.218624,171306199.898588,175.417549,43854387174.038635,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,8,256,16384,1,256,10,50,5.553408,0.096748,5.154432,169348001.345220,173.412353,43353088344.376419,0.000000,-1
