case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
ntt12_u64_v06_b160,ntt12_u64-batch160,1,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid2d,0.046944,3408297.641956,1
ntt12_u64_v07_search_b1,ntt12_u64-batch1,1,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid-dataflow,0.096498,10362.945334,1
ntt12_u64_v07_search_b80,ntt12_u64-batch80,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,80,1152921504606584833,60,30,500,hybrid-dataflow,0.101237,790227.018956,1
ntt12_u32_v06_b16,ntt12_u32-batch16,3,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,16,1073479681,30,30,500,hybrid2d,0.008493,1883891.854573,1
ntt12_u64_v07_b256,ntt12_u64-batch256,2,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,256,1152921504606584833,60,30,500,hybrid-dataflow,0.456233,561116.840832,1
ntt12_u64_v07_search_b80,ntt12_u64-batch80,1,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,80,1152921504606584833,60,30,500,hybrid-dataflow,0.101284,789859.519794,1
ntt12_u64_v07_search_b160,ntt12_u64-batch160,1,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid-dataflow,0.136632,1171025.978162,1
ntt12_u64_v06_b160,ntt12_u64-batch160,2,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid2d,0.046920,3410082.850956,1
ntt12_u64_v07_search_b256,ntt12_u64-batch256,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,256,1152921504606584833,60,30,500,hybrid-dataflow,0.256881,996571.789216,1
ntt12_u32_v07_b160,ntt12_u32-batch160,2,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,160,1073479681,30,30,500,hybrid-dataflow,0.077525,2063850.442888,1
ntt12_u64_v07_search_b512,ntt12_u64-batch512,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,512,1152921504606584833,60,30,500,hybrid-dataflow,0.512813,998414.565108,1
ntt12_u64_v07_b1,ntt12_u64-batch1,3,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid-dataflow,0.114276,8750.717047,1
ntt12_u32_v07_search_b80,ntt12_u32-batch80,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,80,1073479681,30,30,500,hybrid-dataflow,0.068848,1161986.444344,1
ntt12_u64_v07_b1,ntt12_u64-batch1,2,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid-dataflow,0.113754,8790.891272,1
ntt12_u32_v07_search_b512,ntt12_u32-batch512,1,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,512,1073479681,30,30,500,hybrid-dataflow,0.224819,2277385.579095,1
ntt12_u32_v07_b80,ntt12_u32-batch80,2,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,80,1073479681,30,30,500,hybrid-dataflow,0.066118,1209964.735809,1
ntt12_u64_v06_b16,ntt12_u64-batch16,2,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,16,1152921504606584833,60,30,500,hybrid2d,0.009497,1684817.743012,1
ntt12_u32_v07_b256,ntt12_u32-batch256,1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,256,1073479681,30,30,500,hybrid-dataflow,0.167430,1528995.845603,1
ntt12_u64_v06_search_b80,ntt12_u64-batch80,2,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,80,1152921504606584833,60,30,500,hybrid2d,0.024222,3302824.052186,1
ntt12_u32_v07_search_b16,ntt12_u32-batch16,3,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,16,1073479681,30,30,500,hybrid-dataflow,0.068178,234680.097501,1
ntt12_u32_v06_b512,ntt12_u32-batch512,1,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,512,1073479681,30,30,500,hybrid2d,0.085246,6006150.297190,1
ntt12_u64_v07_search_b1,ntt12_u64-batch1,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid-dataflow,0.096551,10357.230012,1
ntt12_u64_v06_b16,ntt12_u64-batch16,1,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,16,1152921504606584833,60,30,500,hybrid2d,0.009484,1687000.597525,1
ntt12_u64_v06_search_b16,ntt12_u64-batch16,1,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,16,1152921504606584833,60,30,500,hybrid2d,0.009085,1761158.730714,1
ntt12_u64_v07_b16,ntt12_u64-batch16,3,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,16,1152921504606584833,60,30,500,hybrid-dataflow,0.113904,140469.636447,1
ntt12_u32_v07_search_b256,ntt12_u32-batch256,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,256,1073479681,30,30,500,hybrid-dataflow,0.124815,2051029.621606,1
ntt12_u64_v07_b160,ntt12_u64-batch160,2,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid-dataflow,0.233841,684226.646904,1
ntt12_u32_v06_search_b1,ntt12_u32-batch1,2,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,1,1073479681,30,30,500,hybrid2d,0.005974,167391.579551,1
