search_stage,trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,10,30,5.488224,0.212924,5.120608,75144.276289,177.287590,19698621163.634583,0.000000,-1
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,512,9,1,0,0,18,262144,16,1,262144,10,30,5.483136,0.216405,5.114368,73935.331656,174.435332,19381703581.524006,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,512,9,1,0,0,18,262144,16,1,262144,10,30,5.497536,0.216098,5.131552,74040.437178,174.683307,19409256363.606373,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,512,9,1,0,0,18,262144,16,1,262144,10,30,5.469248,0.215518,5.114208,74239.785651,175.153629,19461514369.762238,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,512,9,1,0,0,18,262144,16,1,262144,10,30,5.495488,0.215927,5.113920,74098.956658,174.821372,19424596894.166008,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,512,9,1,0,0,18,262144,16,1,262144,10,30,5.481248,0.215757,5.123232,74157.568715,174.959655,19439961693.355030,0.000000,-1
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,128,9,1,0,0,18,262144,16,1,262144,10,30,5.510624,0.229581,5.115552,69692.237644,164.424618,18269401944.897572,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,128,9,1,0,0,18,262144,16,1,262144,10,30,5.492864,0.229649,5.113056,69671.521919,164.375743,18263971441.995480,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,128,9,1,0,0,18,262144,16,1,262144,10,30,5.462848,0.229990,5.110016,69568.118737,164.131784,18236864918.298126,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,128,9,1,0,0,18,262144,16,1,262144,10,30,5.472352,0.230161,5.124160,69516.538912,164.010092,18223343576.474377,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,128,9,1,0,0,18,262144,16,1,262144,10,30,5.467424,0.229922,5.112864,69588.777518,164.180524,18242280493.655754,0.000000,-1
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,20,1048576,4,1,1048576,10,30,5.489344,0.223232,5.120064,17918.577896,187.889907,18788990735.947491,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,20,1048576,4,1,1048576,10,30,5.516640,0.223334,5.125824,17910.362071,187.803758,18780375819.097744,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,20,1048576,4,1,1048576,10,30,5.504832,0.222754,5.109216,17957.017888,188.292980,18829297989.437931,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,20,1048576,4,1,1048576,10,30,5.481952,0.223266,5.107872,17915.838052,187.861178,18786117801.008961,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,20,1048576,4,1,1048576,10,30,5.521856,0.222959,5.117056,17940.523258,188.120021,18812002115.863762,0.000000,-1
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,10,1,0,0,20,1048576,4,1,1048576,10,30,5.495744,0.246238,5.105056,16244.455723,170.335464,17033546404.361994,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,10,1,0,0,20,1048576,4,1,1048576,10,30,5.501568,0.245180,5.120032,16314.562537,171.070587,17107058727.077679,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,10,1,0,0,20,1048576,4,1,1048576,10,30,5.479968,0.245146,5.116960,16316.833484,171.094400,17109439987.158331,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,10,1,0,0,20,1048576,4,1,1048576,10,30,5.496256,0.244907,5.116128,16332.752798,171.261326,17126132598.025921,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,10,1,0,0,20,1048576,4,1,1048576,10,30,5.482848,0.247706,5.103136,16148.201175,169.326162,16932616195.484373,0.000000,-1
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,256,10,1,0,0,20,1048576,4,1,1048576,10,30,5.506368,0.258492,5.124224,15474.383190,162.260668,16226066828.207113,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,256,10,1,0,0,20,1048576,4,1,1048576,10,30,5.489728,0.257638,5.119232,15525.636241,162.798095,16279809547.505758,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,256,10,1,0,0,20,1048576,4,1,1048576,10,30,5.489280,0.258048,5.115648,15500.992187,162.539684,16253968382.999020,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,256,10,1,0,0,20,1048576,4,1,1048576,10,30,5.478656,0.257229,5.123776,15550.358781,163.057330,16305733009.344046,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,256,10,1,0,0,20,1048576,4,1,1048576,10,30,5.464384,0.257468,5.110528,15535.928340,162.906016,16290601594.540594,0.000000,-1
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,512,10,1,0,0,20,1048576,4,1,1048576,10,30,5.468160,0.267435,5.118560,14956.924621,156.834722,15683472190.963331,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,512,10,1,0,0,20,1048576,4,1,1048576,10,30,5.457312,0.267674,5.101728,14943.574082,156.694731,15669473136.609091,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,512,10,1,0,0,20,1048576,4,1,1048576,10,30,5.475488,0.267742,5.120512,14939.763306,156.654772,15665477248.513401,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,512,10,1,0,0,20,1048576,4,1,1048576,10,30,5.468320,0.267264,5.116736,14966.476287,156.934878,15693487839.596624,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,512,10,1,0,0,20,1048576,4,1,1048576,10,30,5.454816,0.266581,5.125408,15004.801909,157.336752,15733675166.065454,0.000000,-1
