suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,accumulation,storage_bits,compute_bits,accumulator_bits,emulated_native,coefficient_policy,arithmetic_pipeline,mapping_id,ctas_per_transform,estimated_registers_per_thread,estimated_shared_bytes_per_cta,resident_ctas_per_sm,resident_warps_per_sm,occupancy_upper_bound,total_ctas,grid_waves,grid_concurrent_fraction,limiting_resource,working_set_bytes,working_set_over_l2,resource_cliff,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply
fft-bf16-native-log15-hier-r4-t256-b1,fft-bf16-native-log15-b1,quick,butterfly,cuButterfly-hier-r4-t256,0,3,1,1,0.009550,native,16,32,16,1,per-stage-twiddle,floating-complex,hier-r4-t256,64,48,4096,5,40,0.625,64,0.16,0.16,register,262144,0.041666666666666664,0,Tesla V100-SXM2-16GB,7.0,fft,bf16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,1,1,32768,20,50,0.036160,0.029716,0.047424,33651.360538,8.270158,1102687782.096356,0.000000,-1,,,,,,,,,,,,
structured-2x2-fp64-log15-online-r4-t256-b7,structured-2x2-fp64-log15-b7,quick,butterfly,cuButterfly-online-r4-t256,0,1,7,1,0.000000,native,64,64,64,0,broadcast,floating-fma,online-r4-t256,64,50,8192,4,32,0.5,448,1.4,1.0,register,3670016,0.5833333333333334,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp64,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,7,1,32768,20,50,0.396320,0.031826,0.341824,219946.517964,54.054056,7207207500.634247,0.000000,-1,,,,,,,,,,,,
fft-bf16-native-log15-online-r4-t256-b5,fft-bf16-native-log15-b5,quick,butterfly,cuButterfly-online-r4-t256,0,2,5,1,0.009550,native,16,32,16,1,per-stage-twiddle,floating-complex,online-r4-t256,64,50,4096,4,32,0.5,320,1.0,1.0,register,1310720,0.20833333333333334,0,Tesla V100-SXM2-16GB,7.0,fft,bf16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,5,1,32768,20,50,0.184128,0.050729,0.171456,98563.026328,24.222849,3229713246.724864,0.000000,-1,,,,,,,,,,,,
fwht-bf16-fp32-log20-hier-r4-t256-b1,fwht-bf16-fp32-log20-b1,quick,butterfly,cuButterfly-hier-r4-t256,0,1,1,1,0.008012,fp32,16,32,32,0,implicit-sign,floating-add,hier-r4-t256,512,44,2048,5,40,0.625,512,1.28,1.0,register,4194304,0.6666666666666666,0,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,20,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,20,1048576,1,1,1048576,20,50,0.441408,0.098365,0.407968,10166.172084,106.600041,10660004059.518332,0.000000,-1,,,,,,,,,,,,
structured-2x2-fp16-fp32-log8-temporal-r2-t128-b959,structured-2x2-fp16-fp32-log8-b959,quick,butterfly,cuButterfly-temporal-r2-t128,0,2,959,1,0.001023,fp32,16,32,32,0,broadcast,floating-fma,temporal-r2-t128,1,30,512,16,64,1.0,959,0.74921875,0.74921875,register+thread+warp,982016,0.15608723958333334,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,959,1,256,20,50,0.114240,0.006963,0.120192,137724036.195214,141.029413,35257353265.974907,0.000000,-1,,,,,,,,,,,,
structured-2x2-fp64-log8-temporal-r2-t128-b1279,structured-2x2-fp64-log8-b1279,quick,butterfly,cuButterfly-temporal-r2-t128,0,1,1279,1,0.000000,native,64,64,64,0,broadcast,floating-fma,temporal-r2-t128,1,32,2048,16,64,1.0,1279,0.99921875,0.99921875,register+thread+warp,5238784,0.8326822916666666,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp64,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1279,1,256,20,50,0.505472,0.012001,0.443808,106571967.952262,109.129695,27282423795.779015,0.000000,-1,,,,,,,,,,,,
structured-2x2-bf16-fp32-log15-online-r2-t256-b7,structured-2x2-bf16-fp32-log15-b7,quick,butterfly,cuButterfly-online-r2-t256,0,2,7,1,0.028423,fp32,16,32,32,0,broadcast,floating-fma,online-r2-t256,64,36,1024,6,48,0.75,448,0.9333333333333333,0.9333333333333333,register,917504,0.14583333333333334,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,bf16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,7,1,32768,20,50,0.113792,0.035123,0.121664,199298.473788,48.979593,6530612389.095312,0.000000,-1,,,,,,,,,,,,
fwht-fp32-log20-online-r4-t256-b2,fwht-fp32-log20-b2,quick,butterfly,cuButterfly-online-r4-t256,0,2,2,1,0.000000,native,32,32,32,0,implicit-sign,floating-add,online-r4-t256,512,46,4096,5,40,0.625,1024,2.56,1.0,register,16777216,2.6666666666666665,0,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,2,1,1048576,20,50,1.420480,0.194458,1.357792,10285.018141,107.846232,10784623182.060699,0.000000,-1,,,,,,,,,,,,
fft-bf16-native-log8-temporal-r4-t128-b1279,fft-bf16-native-log8-b1279,quick,butterfly,cuButterfly-temporal-r4-t128,0,3,1279,1,0.006611,native,16,32,16,1,per-stage-twiddle,floating-complex,temporal-r4-t128,1,42,1024,10,40,0.625,1279,1.59875,1.0,register,2619392,0.4163411458333333,0,Tesla V100-SXM2-16GB,7.0,fft,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1279,1,256,20,50,0.328736,0.034017,0.273600,37598538.437513,38.500903,9625225840.003399,0.000000,-1,,,,,,,,,,,,
structured-2x2-bf16-native-log8-temporal-r4-t128-b961,structured-2x2-bf16-native-log8-b961,quick,butterfly,cuButterfly-temporal-r4-t128,0,2,961,1,0.016847,native,16,32,16,1,broadcast,floating-fma,temporal-r4-t128,1,38,512,12,48,0.75,961,1.0010416666666666,1.0,register,984064,0.15641276041666666,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,961,1,256,20,50,0.114144,0.016916,0.122752,56808508.910075,58.171913,14542978280.979250,0.000000,-1,,,,,,,,,,,,
