trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,12,4096,1024,1,4096,20,100,5.486272,0.089201,5.845536,11479738.489165,282.126053,47021008851.619987,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,12,4096,1024,1,4096,20,100,5.519264,0.093686,5.209440,10930156.173589,268.619518,44769919687.021057,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,12,4096,1024,1,4096,20,100,5.505952,0.093757,5.242400,10921800.415928,268.414167,44735694503.640923,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,12,4096,1024,1,4096,20,100,5.467040,0.093757,5.179392,10921800.415928,268.414167,44735694503.640923,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,12,4096,1024,1,4096,20,100,5.501216,0.093839,5.442048,10912265.123058,268.179828,44696637944.047531,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,12,4096,1024,1,4096,20,100,5.470272,0.093778,5.205888,10919414.163249,268.355522,44725920412.668015,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,13,8192,512,1,8192,20,100,5.486368,0.096614,5.797504,5299417.170412,282.183365,43412825460.015358,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,13,8192,512,1,8192,20,100,5.509888,0.096573,5.609856,5301664.600812,282.303037,43431236409.853271,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,13,8192,512,1,8192,20,100,5.494400,0.096522,5.192576,5304477.287409,282.452807,43454277938.456322,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,13,8192,512,1,8192,20,100,5.469216,0.096758,5.179584,5291565.535753,281.765282,43348504868.886604,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,13,8192,512,1,8192,20,100,5.461152,0.096297,5.207488,5316886.507207,283.113573,43555934267.038322,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,13,8192,512,1,8192,20,100,5.498016,0.121672,5.225952,4208045.899892,224.070028,34472312011.913910,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,13,8192,512,1,8192,20,100,5.489248,0.122194,5.952064,4190061.256089,223.112382,34324981809.880741,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,13,8192,512,1,8192,20,100,5.481280,0.121037,5.289536,4230118.521535,225.245351,34653130928.416641,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,13,8192,512,1,8192,20,100,5.504256,0.121743,6.661952,4205567.960770,223.938083,34452012734.627251,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,13,8192,512,1,8192,20,100,5.508448,0.121651,6.987968,4208754.124329,224.107740,34478113786.500870,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,13,8192,512,1,8192,20,100,5.461472,0.100157,5.176640,5111951.758043,272.201207,41877108801.886261,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,13,8192,512,1,8192,20,100,5.487104,0.100168,5.537824,5111428.938361,272.173368,41872825863.053864,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,13,8192,512,1,8192,20,100,5.472064,0.100157,5.174848,5111951.758043,272.201207,41877108801.886261,0.000000,-1
