trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,logN,N,batch,element_stride,batch_stride,kernel_ms,transforms_s,Gbutterfly_s,max_roundtrip_error,correct
3,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.044360,2885503.282364,709.141287,0.000977,1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.044380,2884171.706317,708.814039,0.000977,1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.044360,2885503.282364,709.141287,0.000977,1
1,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.045875,2790178.496906,685.714267,0.007812,1
2,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.045865,2790801.593458,685.867400,0.007812,1
3,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.045804,2794545.152073,686.787417,0.007812,1
4,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.045752,2797672.318907,687.555949,0.007812,1
5,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.045783,2795795.237756,687.094638,0.007812,1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.063949,2001601.338003,491.913545,0.000001,1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.064010,1999680.093445,491.441380,0.000001,1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.063918,2002563.270664,492.149949,0.000001,1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.063928,2002242.573512,492.071135,0.000001,1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.064758,1976597.030769,485.768486,0.000001,1
