trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.912640,2.021581,10.121472,31658.391167,16.598115,2074764323.490454,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.911392,2.021939,10.121024,31652.780431,16.595173,2074396618.318360,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.918272,2.021530,10.123104,31659.193929,16.598535,2074816933.357708,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,64,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.919200,2.068634,10.123008,30938.297314,16.220578,2027572252.752327,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,64,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.920384,2.068326,10.122560,30942.890703,16.222986,2027873285.128741,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,64,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.957216,2.068326,10.136800,30942.890703,16.222986,2027873285.128741,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,64,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.912832,2.069299,10.121024,30928.344895,16.215360,2026920011.062681,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,64,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.912128,2.069248,10.124096,30929.111061,16.215762,2026970222.497265,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,64,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.926112,2.069606,10.124384,30923.755823,16.212954,2026619261.620739,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.918176,2.138624,10.126240,29925.784715,15.689730,1961216227.088422,0.000000,-1
