trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.465984,0.099441,5.110304,5272371447.232525,63.268457,42178971577.860199,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,shared,cufftdx-block,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.460768,0.149105,5.113664,3516242018.990744,42.194904,28129936151.925953,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,shared,cufftdx-block,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.494304,0.149463,5.119232,3507810297.586661,42.093724,28062482380.693291,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,shared,cufftdx-block,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.386784,0.149043,5.110688,3517691458.294041,42.212297,28141531666.352329,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,shared,cufftdx-block,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.463584,0.149279,5.105952,3512141694.895101,42.145700,28097133559.160805,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,shared,cufftdx-block,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.539168,0.149443,5.107680,3508291230.644177,42.099495,28066329845.153416,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.492864,0.433224,5.103712,605100790.399939,19.363225,9681612646.399031,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.483520,0.385290,5.096928,680380596.224608,21.772179,10886089539.593733,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.474816,0.382372,5.102592,685573546.603583,21.938353,10969176745.657320,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.484416,0.382362,5.119936,685591874.981040,21.938940,10969469999.696648,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.481920,0.382372,5.105824,685573546.603583,21.938353,10969176745.657320,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.464064,0.382495,5.100960,685353201.889236,21.931302,10965651230.227777,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.479776,0.382484,5.108960,685371625.292065,21.931892,10965946004.673037,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.461280,0.382423,5.100352,685481705.734762,21.935415,10967707291.756197,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.468288,0.374620,5.104224,699759440.125815,22.392302,11196151042.013046,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.468448,0.374569,5.103104,699855091.285170,22.395363,11197681460.562716,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.460384,0.456212,5.099584,574609469.080314,18.387503,9193751505.285030,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.459072,0.454543,5.102528,576719467.512338,18.455023,9227511480.197411,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.476800,0.454574,5.101312,576680485.099333,18.453776,9226887761.589329,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.461120,0.454574,5.102944,576680485.099333,18.453776,9226887761.589329,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.475296,0.454554,5.098880,576706460.185383,18.454607,9227303362.966133,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.460032,0.967598,5.103872,270922389.262815,8.669516,4334758228.205039,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.463296,0.967588,5.107424,270925276.488333,8.669609,4334804423.813329,0.000000,-1
