trial,coefficient_policy,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.772000,0.051251,2.601216,19980018.879982,491.028944,81838157332.407593,0.000000,-1
2,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.762304,0.051128,2.598400,20028039.099856,492.209089,82034848153.011658,0.000000,-1
2,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.764192,0.047462,2.598176,21574973.009023,530.226537,88371089444.957764,0.000000,-1
3,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.762304,0.047421,2.594432,21593608.072401,530.684512,88447418664.553375,0.000000,-1
3,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.758400,0.051128,2.594880,20028039.099856,492.209089,82034848153.011658,0.000000,-1
4,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.775648,0.051139,2.599392,20024029.815984,492.110557,82018426126.270950,0.000000,-1
4,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.771648,0.047391,2.604448,21607606.783211,531.028544,88504757384.034042,0.000000,-1
5,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.760512,0.047483,2.593632,21565666.687562,529.997825,88332970752.253815,0.000000,-1
5,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.763264,0.051231,2.596416,19988006.736987,491.225254,81870875594.698196,0.000000,-1
1,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.759712,0.080538,2.592800,1589319.872672,390.591252,52078833587.720070,0.000000,-1
1,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.757184,0.087982,2.592288,1454841.698723,357.541896,47672252783.744942,0.000000,-1
2,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.761472,0.088054,2.595840,1453657.353938,357.250831,47633444173.828285,0.000000,-1
2,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.771936,0.080517,2.606496,1589724.010891,390.690573,52092076388.884987,0.000000,-1
3,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.769920,0.080517,2.600032,1589724.010891,390.690573,52092076388.884987,0.000000,-1
3,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.766656,0.087992,2.590432,1454672.441258,357.500299,47666706555.136864,0.000000,-1
4,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.758336,0.087910,2.591072,1456027.851533,357.833405,47711120639.039383,0.000000,-1
4,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.770752,0.080497,2.598944,1590128.501873,390.789981,52105330749.368301,0.000000,-1
5,broadcast,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.759232,0.080486,2.593024,1590330.750955,390.839685,52111958047.284096,0.000000,-1
5,per-stage,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1x1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.770816,0.088013,2.602688,1454333.921336,357.417105,47655613934.327599,0.000000,-1
