rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
16,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.331407,0.331387,0.331407,101.248298,1.066289
17,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.332759,0.332657,0.332779,100.837022,1.070639
18,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.332800,0.332759,0.332841,100.824615,1.070771
19,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.334377,0.334356,0.334418,100.349124,1.075845
20,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.335217,0.335196,0.335360,100.097751,1.078548
21,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.340664,0.340644,0.340746,98.497052,1.096073
22,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.351457,0.351252,0.351519,95.472287,1.130799
23,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.351765,0.351662,0.351928,95.388909,1.131790
24,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.362865,0.362762,0.363049,92.470933,1.167504
25,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.397763,0.397599,0.397824,84.357943,1.279787
