case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
fft8_baseline_b16384,fft8-batch16384,4,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,cufft,0.084060,194908022.427924,1
fwht15_base_b512,fwht15-batch512,1,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,hierarchical,1.387889,368905.670231,1
ntt16_searched_b4,ntt16-batch4,2,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029409,136011.490034,1
fwht15_baseline_b256,fwht15-batch256,3,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.117658,2175804.969874,1
ntt16_base_b64,ntt16-batch64,3,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.301302,212411.624519,1
fwht8_searched_b65536,fwht8-batch65536,4,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.165110,396923819.780442,1
ntt16_searched_b4,ntt16-batch4,5,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029399,136058.868099,1
fwht8_base_b65536,fwht8-batch65536,1,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.187965,348659842.881489,1
fwht15_baseline_b512,fwht15-batch512,5,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.210268,2434985.944893,1
ntt16_base_b256,ntt16-batch256,4,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.163489,220027.799840,1
fft20_base_b4,fft20-batch4,1,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,online-reorder,0.768051,5207.986086,1
