trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,8x8,recurrence,direct-strided,global-scratch,2,128x128,8x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,128,8,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.897664,0.367370,10.105472,174211.182228,91.336832,11417104038.519989,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x4,recurrence,direct-strided,global-scratch,2,128x256,8x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,8,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.907488,0.368804,10.108640,173533.990093,90.981789,11372723574.719780,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x4,recurrence,direct-strided,global-scratch,2,128x256,8x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,8,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.902912,0.368681,10.111264,173591.825965,91.012111,11376513906.474560,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x4,recurrence,direct-strided,global-scratch,2,128x256,8x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,8,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.894912,0.368906,10.111840,173485.806612,90.956527,11369565822.133322,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x8,recurrence,direct-strided,global-scratch,2,128x256,8x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,8,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.902336,0.373944,10.110464,171148.478233,89.731093,11216386669.502401,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x8,recurrence,direct-strided,global-scratch,2,128x256,8x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,8,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.892800,0.373965,10.112704,171139.094388,89.726174,11215771689.810242,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,8x8,recurrence,direct-strided,global-scratch,2,128x256,8x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,8,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.900512,0.373699,10.109728,171261.014460,89.790095,11223761843.642885,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x4,recurrence,direct-strided,global-scratch,2,128x512,8x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,8,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.904544,0.373064,10.110336,171552.479721,89.942906,11242863311.002289,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x4,recurrence,direct-strided,global-scratch,2,128x512,8x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,8,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.923264,0.373002,10.112320,171580.743117,89.957725,11244715580.906748,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x4,recurrence,direct-strided,global-scratch,2,128x512,8x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,8,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.903072,0.373330,10.109536,171430.130773,89.878760,11234845050.355579,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x8,recurrence,direct-strided,global-scratch,2,128x512,8x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,8,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.893088,0.389202,10.109248,164439.057388,86.213425,10776678064.951281,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x8,recurrence,direct-strided,global-scratch,2,128x512,8x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,8,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.915936,0.389571,10.112736,164283.472123,86.131853,10766481629.053282,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,8x8,recurrence,direct-strided,global-scratch,2,128x512,8x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,8,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.892128,0.389181,10.112288,164447.720848,86.217967,10777245833.512241,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x4,recurrence,direct-strided,global-scratch,2,256x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,256,128,4,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.910016,0.371651,10.113504,172204.778260,90.284899,11285612348.040897,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x4,recurrence,direct-strided,global-scratch,2,256x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,256,128,4,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.891232,0.375050,10.111072,170643.801892,89.466498,11183312200.781303,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x4,recurrence,direct-strided,global-scratch,2,256x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,256,128,4,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.897696,0.372470,10.111360,171826.032798,90.086327,11260790885.471935,0.000000,-1
