case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
ntt16_cub_b64,ntt16-batch64,5,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.276931,231104.498955,1
ntt16_gpuntt_b256,ntt16-batch256,2,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,GPU-NTT-Merge,1.52159,168245,1
ntt16_cub_b256,ntt16-batch256,3,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.069128,239447.474952,1
ntt20_gpuntt_b16,ntt20-batch16,5,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,GPU-NTT-Merge,1.5689,10198.2,1
ntt16_cub_b4,ntt16-batch4,4,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.031232,128073.770492,1
ntt20_cub_b16,ntt20-batch16,3,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,compact-stage,1.460828,10952.692583,1
ntt16_gpuntt_b4,ntt16-batch4,4,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,GPU-NTT-Merge,0.0345907,115638,1
ntt20_cub_b4,ntt20-batch4,5,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,4,576460756061519873,60,1000,100,compact-stage,0.342159,11690.471389,1
ntt20_gpuntt_b2,ntt20-batch2,5,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,2,576460756061519873,60,1000,100,GPU-NTT-Merge,0.204759,9767.58,1
ntt20_cub_b2,ntt20-batch2,1,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,2,576460756061519873,60,1000,100,compact-stage,0.179405,11147.961317,1
fwht8_warp_b4096,fwht8-batch4096,2,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,temporal-tile,0.011305,362318821.794491,1
ntt20_gpuntt_b16,ntt20-batch16,1,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,GPU-NTT-Merge,1.56915,10196.6,1
ntt16_cub_b64,ntt16-batch64,3,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.281539,227321.969603,1
ntt20_cub_b2,ntt20-batch2,2,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,2,576460756061519873,60,1000,100,compact-stage,0.179855,11120.068944,1
ntt20_gpuntt_b16,ntt20-batch16,3,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,16,576460756061519873,60,1000,100,GPU-NTT-Merge,1.57787,10140.2,1
fwht15_dao_b4,fwht15-batch4,5,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,4,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.017828,224368.181078,1
ntt20_cub_b2,ntt20-batch2,5,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,2,576460756061519873,60,1000,100,compact-stage,0.180480,11081.560284,1
fwht8_warp_b65536,fwht8-batch65536,5,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.164321,398828420.904083,1
fwht8_warp_b65536,fwht8-batch65536,4,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.164280,398927868.753938,1
fwht15_warp_b512,fwht15-batch512,1,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.193270,2649146.778421,1
ntt16_cub_b4,ntt16-batch4,5,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029512,135538.086202,1
fwht15_dao_b256,fwht15-batch256,2,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.115712,2212389.309637,1
fwht8_dao_b4096,fwht8-batch4096,5,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.011479,356824252.104277,1
fwht8_dao_b4096,fwht8-batch4096,2,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.011858,345423152.293764,1
