suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct,operator,precision,direction,normalization,placement,element_stride,batch_stride,library,library_version,plan_ms,transforms_s,Gbutterfly_s,points_s,max_abs_error,relative_l2_error,complex_multiply,local_exchange,fft_core,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,max_error
xor8_r4,xor-u32-fwd-log8,quick,butterfly,cuButterfly-radix4,0,3,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix4,,8,256,16384,,,,,,,5,20,2.775200,0.050227,2.622976,,,,table,,,-1,xor-zeta,uint32,forward,none,out-of-place,1,256,,,,326197741.316208,334.026487,83506621776.949265,,,four-mul,shared,scalar,128,0,0,8,8,0,0,0,0,0,0,0.000000
xor8_r4,xor-u32-fwd-log8,quick,butterfly,cuButterfly-radix4,0,2,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix4,,8,256,16384,,,,,,,5,20,2.765312,0.050227,2.596704,,,,table,,,-1,xor-zeta,uint32,forward,none,out-of-place,1,256,,,,326197741.316208,334.026487,83506621776.949265,,,four-mul,shared,scalar,128,0,0,8,8,0,0,0,0,0,0,0.000000
fft8_vkfft,fft-fp32-fwd-log8,quick,fft-library,VkFFT,0,3,16384,1,,Tesla V100-SXM2-16GB,7.0,,,,,,8,256,16384,,,,,,,5,20,,0.084275201,,,,,,,,-1,fft,fp32,forward,none,in-place,1,256,vkfft,10304,213.752580000,194410690.366543800,199.076546935,49769136733.835212708,0.000000000,0.000000000,,,,,,,,,,,,,,,
fft14_cufft,fft-fp32-fwd-log14,quick,fft-library,cuFFT,1,1,256,1,,Tesla V100-SXM2-16GB,7.0,,,,,,14,16384,256,,,,,,,5,20,,0.135731190,,,,,,,,-1,fft,fp32,forward,none,in-place,1,16384,cufft,10900,1.848339000,1886080.857055720,216.310841334,30901548762.000911713,0.000000000,0.000000000,,,,,,,,,,,,,,,
fft18_cub,fft-fp32-fwd-log18,quick,butterfly,cuButterfly-cuFFTDx-online,0,2,16,1,0.000512,Tesla V100-SXM2-16GB,7.0,online-reorder,0,named-barrier,auto,,18,262144,16,,,,,,,5,20,5.456192,0.212787,5.103392,,,,recurrence,,,-1,fft,fp32,forward,none,in-place,1,262144,,,,75192.494181,177.401351,19711261194.534111,,,four-mul,shared,cufftdx-block,128,256,256,8,8,4,4,9,1,0,0,0.000000
fwht20_hier,fwht-fp32-fwd-log20,quick,butterfly,cuButterfly-hierarchical-radix4,0,1,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,hierarchical,0,named-barrier,radix4,,20,1048576,4,,,,,,,5,20,2.808736,0.495002,2.647552,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,1048576,,,,8080.781731,84.733138,8473313784.397819,,,four-mul,shared,scalar,256,0,0,8,8,0,0,10,0,0,0,0.000000
fft18_cufft,fft-fp32-fwd-log18,quick,fft-library,cuFFT,1,3,16,1,,Tesla V100-SXM2-16GB,7.0,,,,,,18,262144,16,,,,,,,5,20,,0.226254389,,,,,,,,-1,fft,fp32,forward,none,in-place,1,262144,cufft,10900,2.261200000,70716.860312144,166.842005667,18538000629.666797638,0.000000000,0.000000000,,,,,,,,,,,,,,,
fft8_cufft,fft-fp32-fwd-log8,quick,fft-library,cuFFT,1,2,16384,1,,Tesla V100-SXM2-16GB,7.0,,,,,,8,256,16384,,,,,,,5,20,,0.084172800,,,,,,,,-1,fft,fp32,forward,none,in-place,1,256,cufft,10900,1.709659000,194647201.522604764,199.318734359,49829683589.786819458,0.000000000,0.000000000,,,,,,,,,,,,,,,
ntt12_30_hybrid,ntt-u30-natural-log12,quick,ntt,cuNTT-Hybrid2D-radix4,0,1,1024,1,,Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.806528,0.157747,2.624704,6491399.136331,183217.716313,26588770862.412933,fused,shoup,natural,-1,ntt,uint32,forward,,,1,4096,,,,,,,,,,,,,,,,,,,,,,,
fwht15_online,fwht-fp32-fwd-log15,quick,butterfly,cuButterfly-online-radix4,0,3,128,1,0.000000,Tesla V100-SXM2-16GB,7.0,online-reorder,0,named-barrier,radix4,,15,32768,128,,,,,,,5,20,2.771296,0.369920,2.615232,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,32768,,,,346020.774778,85.038066,11338408747.933266,,,four-mul,shared,scalar,256,0,0,8,8,0,0,8,1,0,0,0.000000
