trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,16,0,0,12,4096,1024,1,4096,10,30,2.776960,0.232926,2.610400,4396248.621268,108.042206,18007034352.713100,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,9,1,0,0,12,4096,1024,1,4096,10,30,2.798944,0.996454,2.602400,1027643.594935,25.255369,4209228164.854669,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,9,1,0,0,12,4096,1024,1,4096,10,30,2.802400,0.988638,2.601728,1035768.542433,25.455048,4242507949.804996,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,9,1,0,0,12,4096,1024,1,4096,10,30,2.773600,0.983142,2.595040,1041558.133361,25.597333,4266222114.245975,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,12,4096,1024,1,4096,10,30,2.795744,1.327582,2.603424,771327.187811,18.956137,3159356161.274878,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,9,2,0,0,12,4096,1024,1,4096,10,30,2.769888,0.531456,2.592608,1926782.296616,47.352602,7892100286.940667,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,9,2,0,0,12,4096,1024,1,4096,10,30,2.782304,0.521216,2.606208,1964636.410731,48.282904,8047150738.352579,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,9,2,0,0,12,4096,1024,1,4096,10,30,2.777696,0.515891,2.601792,1984914.670433,48.781263,8130210490.095570,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,2,0,0,12,4096,1024,1,4096,10,30,2.793440,0.680721,2.608320,1504287.135752,36.969361,6161560108.038410,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,9,4,0,0,12,4096,1024,1,4096,10,30,2.799808,0.328670,2.600160,3115588.239780,76.568697,12761449430.138432,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,9,4,0,0,12,4096,1024,1,4096,10,30,2.789152,0.321536,2.607872,3184713.330796,78.267515,13044585802.941118,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,9,4,0,0,12,4096,1024,1,4096,10,30,2.770432,0.316075,2.595520,3239740.793116,79.619870,13269978288.605021,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,4,0,0,12,4096,1024,1,4096,10,30,2.791168,0.396937,2.606656,2579757.486534,63.400120,10566686664.844305,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,9,8,0,0,12,4096,1024,1,4096,10,30,2.781248,0.229581,2.591808,4460303.209204,109.616412,18269401944.897572,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,9,8,0,0,12,4096,1024,1,4096,10,30,2.782528,0.221628,2.597472,4620360.516998,113.549980,18924996677.621910,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,9,8,0,0,12,4096,1024,1,4096,10,30,2.773920,0.216303,2.595264,4734101.354079,116.345275,19390879146.307720,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,8,0,0,12,4096,1024,1,4096,10,30,2.778624,0.264431,2.599872,3872466.661482,95.169741,15861623445.431503,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,9,16,0,0,12,4096,1024,1,4096,10,30,2.768832,0.185446,2.593152,5521810.815471,135.704023,22617337100.170364,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,9,16,0,0,12,4096,1024,1,4096,10,30,2.784768,0.173295,2.600384,5909001.436160,145.219619,24203269882.510063,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,9,16,0,0,12,4096,1024,1,4096,10,30,2.784064,0.169438,2.601440,6043513.163166,148.525379,24754229916.326431,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,16,0,0,12,4096,1024,1,4096,10,30,2.769792,0.198554,2.594176,5157297.784732,126.745750,21124291726.260677,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,10,1,0,0,12,4096,1024,1,4096,10,30,2.790176,1.703936,2.611104,600961.545234,14.769231,2461538489.279751,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,1,0,0,12,4096,1024,1,4096,10,30,2.764128,1.680896,2.592864,609198.887576,14.971672,2495278643.510975,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,1,0,0,12,4096,1024,1,4096,10,30,2.770400,1.553510,2.593920,659152.318446,16.199327,2699887896.354376,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,12,4096,1024,1,4096,10,30,2.796960,1.932663,2.598336,529838.759524,13.021317,2170219559.009931,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,10,2,0,0,12,4096,1024,1,4096,10,30,2.783264,0.840841,2.592736,1217829.038327,29.929366,4988227740.986065,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,2,0,0,12,4096,1024,1,4096,10,30,2.785888,0.818381,2.605216,1251251.292429,30.750752,5125125293.790578,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,2,0,0,12,4096,1024,1,4096,10,30,2.779392,0.810325,2.593024,1263689.988446,31.056445,5176074192.676824,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,2,0,0,12,4096,1024,1,4096,10,30,2.792832,1.005329,2.598176,1018572.016614,25.032426,4172070980.049473,0.000000,-1
