rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
22,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.364462,0.364401,0.364544,92.065633,1.160027
23,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.382300,0.381706,0.382300,87.769866,1.216803
24,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.390717,0.390717,0.390779,85.879028,1.243593
25,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.399790,0.399749,0.399872,83.930127,1.272471
26,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.402371,0.402350,0.402514,83.391864,1.280686
27,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.402678,0.402637,0.402719,83.328244,1.281663
28,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.411566,0.411546,0.411648,81.528663,1.309952
29,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.412058,0.411955,0.412078,81.431410,1.311518
30,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.415621,0.415580,0.415764,80.733225,1.322859
31,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.533729,0.533668,0.533832,62.867883,1.698778
32,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.534016,0.533914,0.534016,62.834131,1.699692
33,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.534282,0.533729,0.534405,62.802825,1.700539
34,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.566211,0.566170,0.566415,59.261402,1.802164
35,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.586035,0.585974,0.586076,57.256684,1.865260
36,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.596910,0.596890,0.596910,56.213542,1.899874
1,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.324895,0.324813,0.324956,129.097325,1.000000
2,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.327127,0.327066,0.327270,128.216365,1.006870
3,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.327619,0.327598,0.327782,128.024001,1.008384
4,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.331284,0.331264,0.331428,126.607314,1.019665
5,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.333189,0.333148,0.333230,125.883579,1.025528
6,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.338698,0.338596,0.338739,123.836015,1.042484
7,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.494387,0.494203,0.494490,84.838441,1.521682
8,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.496046,0.496005,0.496128,84.554728,1.526789
9,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.496067,0.495944,0.496087,84.551238,1.526853
10,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.496189,0.495944,0.496230,84.530300,1.527229
11,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.501125,0.500879,0.501146,83.697744,1.542421
12,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.503828,0.503726,0.503849,83.248651,1.550741
13,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.575324,0.575058,0.575406,72.903315,1.770800
14,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.577679,0.577638,0.577864,72.606086,1.778048
