rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
89,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.691251,0.688947,0.693811,48.541592,2.008481
90,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,128,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.713984,0.713318,0.714189,46.996055,2.074534
91,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.714342,0.714138,0.714701,46.972476,2.075574
92,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,128,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.715622,0.715315,0.716595,46.888462,2.079293
93,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.718438,0.718080,0.718490,46.704676,2.087475
94,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.720333,0.719309,0.720845,46.581847,2.092981
95,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.720589,0.718080,0.720896,46.565297,2.093725
96,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.721203,0.720845,0.722074,46.525628,2.095509
97,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.721408,0.720947,0.721715,46.512420,2.096105
98,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,256,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.724736,0.724531,0.725248,46.298832,2.105775
99,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.725094,0.724634,0.726170,46.275947,2.106815
100,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,256,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.725811,0.724634,0.726016,46.230249,2.108898
101,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.725914,0.725811,0.726938,46.223724,2.109197
102,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.726067,0.724941,0.746547,46.213949,2.109642
103,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.726323,0.725197,0.726682,46.197657,2.110386
104,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.727450,0.726528,0.728064,46.126126,2.113660
105,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.728832,0.728678,0.729088,46.038637,2.117676
106,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.738611,0.738611,0.738867,45.429085,2.146089
107,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.741069,0.739891,0.741171,45.278431,2.153231
108,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.741939,0.741069,0.742656,45.225313,2.155759
109,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.742810,0.741581,0.744755,45.172319,2.158290
110,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.743424,0.742451,0.743475,45.134986,2.160074
111,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.745062,0.744806,0.745882,45.035733,2.164833
