candidate_id,group,trial,implementation,reference,static_score,mapping_id,processing_unit,prefix_log_n,suffix_log_n,prefix_threads,suffix_threads,prefix_ept,suffix_ept,cross_twiddle,device,compute_capability,operator,precision,direction,normalization,placement,backend,fft_core,logN,N,batch,warmup,repeat,kernel_ms,points_s,max_error,correct
fft20-fp32_b8_p10s10_t128x256_e16x16_rec,fft20-fp32-batch8,2,fft20-fp32_b8_p10s10_t128x256_e16x16_rec,0,1193271.6996612132,fft20-fp32,cufftdx-online-shared,10,10,128,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.511959,16385311582.648399,0.001451,1
fft20-fp32_b8_p10s10_t128x512_e16x16_rec,fft20-fp32-batch8,3,fft20-fp32_b8_p10s10_t128x512_e16x16_rec,0,1193271.6996612132,fft20-fp32,cufftdx-online-shared,10,10,128,512,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.491602,17063822898.670500,0.001451,1
fft18-fp32_b64_p10s8_t128x128_e16x16_tbl,fft18-fp32-batch64,1,fft18-fp32_b64_p10s8_t128x128_e16x16_tbl,0,2435248.3666555374,fft18-fp32,cufftdx-online-shared,10,8,128,128,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,1.120686,14970486994.710775,0.000610,1
fft20-fp32_b2_p10s10_t256x512_e16x16_rec,fft20-fp32-batch2,2,fft20-fp32_b2_p10s10_t256x512_e16x16_rec,0,298317.9249153033,fft20-fp32,cufftdx-online-shared,10,10,256,512,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.145777,14386063071.789820,0.001320,1
fft18-fp32_b64_p8s10_t128x256_e16x16_rec,fft18-fp32-batch64,1,fft18-fp32_b64_p8s10_t128x256_e16x16_rec,0,2386543.3993224264,fft18-fp32,cufftdx-online-shared,8,10,128,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,0.993055,16894552934.629015,0.000674,1
fft18-fp32_b64_p9s9_t128x128_e16x16_tbl,fft18-fp32-batch64,1,fft18-fp32_b64_p9s9_t128x128_e16x16_tbl,0,2435248.3666555374,fft18-fp32,cufftdx-online-shared,9,9,128,128,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,1.082184,15503112558.783833,0.000857,1
fft18-fp32_b64_p9s9_t128x128_e16x16_tbl,fft18-fp32-batch64,2,fft18-fp32_b64_p9s9_t128x128_e16x16_tbl,0,2435248.3666555374,fft18-fp32,cufftdx-online-shared,9,9,128,128,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,1.082737,15495195991.229435,0.000857,1
fft18-fp32_b16_p10s8_t128x128_e16x16_rec,fft18-fp32-batch16,3,fft18-fp32_b16_p10s8_t128x128_e16x16_rec,0,596635.8498306066,fft18-fp32,cufftdx-online-shared,10,8,128,128,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,16,100,50,0.236626,17725462690.544788,0.000671,1
fft18-fp32_b16_cufft,fft18-fp32-batch16,1,cuFFT,1,0.0,fft18-fp32,vendor-baseline,0,0,0,0,0,0,none,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,cufft,scalar,18,262144,16,100,50,0.211354,19844961237.946091,0.000601,1
fft20-fp32_b2_cufft,fft20-fp32-batch2,3,cuFFT,1,0.0,fft20-fp32,vendor-baseline,0,0,0,0,0,0,none,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,cufft,scalar,20,1048576,2,100,50,0.124129,16894902784.488850,0.002033,1
fft20-fp32_b2_p10s10_t128x256_e16x16_tbl,fft20-fp32-batch2,3,fft20-fp32_b2_p10s10_t128x256_e16x16_tbl,0,304406.0458319422,fft20-fp32,cufftdx-online-shared,10,10,128,256,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.182764,11474675228.064913,0.001125,1
fft20-fp32_b8_p10s10_t256x256_e16x16_rec,fft20-fp32-batch8,2,fft20-fp32_b8_p10s10_t256x256_e16x16_rec,0,1193271.6996612132,fft20-fp32,cufftdx-online-shared,10,10,256,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.491377,17071645951.874420,0.001451,1
fft18-fp32_b16_p10s8_t128x128_e16x16_rec,fft18-fp32-batch16,1,fft18-fp32_b16_p10s8_t128x128_e16x16_rec,0,596635.8498306066,fft18-fp32,cufftdx-online-shared,10,8,128,128,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,16,100,50,0.236319,17748504891.970474,0.000671,1
