holdout_dimension,holdout_value,operator,precision,accumulation,logN,batch,measured_winner,predicted_winner,top1_correct,topk_contains_winner,regret
numeric-contract,bf16:native,fwht,bf16,native,8,1281,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:native,fft,bf16,native,15,4,online-r2-t256,online-r4-t256,0,1,1.2994245189792477
numeric-contract,bf16:native,fwht,bf16,native,20,1,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,bf16:native,fft,bf16,native,20,1,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,bf16:native,structured-2x2,bf16,native,8,960,temporal-r2-t128,temporal-r4-t128,0,1,1.0894913277947822
numeric-contract,bf16:native,fwht,bf16,native,8,1280,temporal-r2-t128,temporal-r4-t128,0,1,1.03844454264251
numeric-contract,bf16:native,fwht,bf16,native,8,1279,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:native,structured-2x2,bf16,native,15,9,online-r2-t256,hier-r4-t256,0,1,1.0861336254107339
numeric-contract,bf16:native,fft,bf16,native,8,800,temporal-r2-t128,temporal-r4-t128,0,1,1.1916441136671179
numeric-contract,bf16:native,fft,bf16,native,15,8,online-r2-t256,hier-r4-t256,0,1,1.0773066455974016
numeric-contract,bf16:native,fwht,bf16,native,15,9,online-r2-t256,hier-r4-t256,0,1,1.0243980945023818
numeric-contract,fp16:fp32,fft,fp16,fp32,15,6,online-r4-t256,online-r2-t256,0,1,1.133064251493076
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,8,959,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,20,1,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,8,961,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,fwht,fp16,fp32,8,1281,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,fft,fp16,fp32,8,801,temporal-r2-t128,temporal-r4-t128,0,1,1.052994398965963
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,8,1281,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,15,7,hier-r4-t256,online-r4-t256,0,1,1.0688340439488357
numeric-contract,fp16:fp32,fwht,fp16,fp32,8,960,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,fwht,fp16,fp32,15,6,online-r2-t256,online-r4-t256,0,1,1.031939791657106
numeric-contract,fp16:fp32,fft,fp16,fp32,8,800,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,fwht,fp16,fp32,15,1,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,fwht,fp16,fp32,20,1,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,fwht,fp16,fp32,8,1280,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,fft,fp16,fp32,8,1,temporal-r4-t128,temporal-r2-t128,0,1,1.0716393882479207
numeric-contract,fp16:fp32,fft,fp16,fp32,15,1,online-r4-t256,online-r2-t256,0,1,1.0539142631717366
numeric-contract,fp16:fp32,fft,fp16,fp32,8,1279,temporal-r4-t128,temporal-r2-t128,0,1,1.0783190066857689
numeric-contract,fp16:fp32,fft,fp16,fp32,15,9,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,8,960,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,fft,fp16,fp32,20,2,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,15,6,online-r4-t256,hier-r4-t256,0,1,1.0954696490801523
