candidate_id,group,trial,implementation,reference,static_score,mapping_id,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,execution_group_stages,group_threads,group_ept,processing_unit,prefix_log_n,suffix_log_n,prefix_threads,suffix_threads,prefix_ept,suffix_ept,cross_twiddle,direct_boundary,device,compute_capability,operator,precision,direction,normalization,placement,backend,fft_core,logN,N,batch,warmup,repeat,kernel_ms,points_s,max_error,correct
fft20-fp32_b8_d4_3x3x4x10_t512x512x512x512_e8x8x16x16_rrr_ffg_gt512x512_ge8x8,fft20-fp32-batch8,1,fft20-fp32_b8_d4_3x3x4x10_t512x512x512x512_e8x8x16x16_rrr_ffg_gt512x512_ge8x8,0,2435248.3666555374,fft20-fp32,4,3x3x4x10,512x512x512x512,8x8x16x16,recurrencexrecurrencexrecurrence,direct-stridedxdirect-stridedxdirect-strided,fusedxfusedxglobal-scratch,2,10x10,512x512,8x8,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,3,10,512,512,8,16,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.414618,20232154728.477669,0.001485,1
fft20-fp32_b16_d3_3x5x12_t128x128x512_e8x16x8_tt_fg_gt128x512_ge16x8,fft20-fp32-batch16,1,fft20-fp32_b16_d3_3x5x12_t128x128x512_e8x16x8_tt_fg_gt128x512_ge16x8,0,3638950.2259420017,fft20-fp32,3,3x5x12,128x128x512,8x16x8,tablextable,direct-stridedxdirect-strided,fusedxglobal-scratch,2,8x12,128x512,16x8,cufftdx-online-shared+cufftdx-online-shared+cufftdx-large-online,3,12,128,512,8,8,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,1.757082,9548341826.651150,0.001152,1
fft18-fp32_b64_d3_3x12x3_t256x1024x256_e8x4x8_tt_gg,fft18-fp32-batch64,1,fft18-fp32_b64_d3_3x12x3_t256x1024x256_e8x4x8_tt_gg,0,9804185.600000001,fft18-fp32,3,3x12x3,256x1024x256,8x4x8,tablextable,direct-stridedxdirect-strided,global-scratchxglobal-scratch,3,,,,cufftdx-online-shared+cufftdx-large-online+cufftdx-online-shared,3,3,256,256,8,8,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,3.048182,5504007717.923839,0.000489,1
fft18-fp32_b64_d3_12x3x3_t256x512x512_e16x8x8_tt_gf_gt256x512_ge16x16,fft18-fp32-batch64,2,fft18-fp32_b64_d3_12x3x3_t256x512x512_e16x8x8_tt_gf_gt256x512_ge16x16,0,2435248.3666555374,fft18-fp32,3,12x3x3,256x512x512,16x8x8,tablextable,direct-stridedxdirect-strided,global-scratchxfused,2,12x6,256x512,16x16,cufftdx-large-online+cufftdx-online-shared+cufftdx-online-shared,12,3,256,512,16,8,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,1.551565,10813093892.761606,0.000657,1
fft18-fp32_b2_d3_6x3x9_t512x512x512_e16x8x16_tt_gf_gt512x256_ge16x16,fft18-fp32-batch2,3,fft18-fp32_b2_d3_6x3x9_t512x512x512_e16x8x16_tt_gf_gt512x256_ge16x16,0,83474.31145798555,fft18-fp32,3,6x3x9,512x512x512,16x8x16,tablextable,direct-stridedxdirect-strided,global-scratchxfused,2,6x12,512x256,16x16,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,6,9,512,512,16,16,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.057344,9142857611.407455,0.000497,1
fft18-fp32_b64_p6s12_t128x256_e16x16_rec_tx,fft18-fp32-batch64,3,fft18-fp32_b64_p6s12_t128x256_e16x16_rec_tx,0,2386543.3993224264,fft18-fp32,2,6x12,128x256,16x16,recurrence,tiled-transpose,global-scratch,2,,,,cufftdx-online-shared+cufftdx-large-online,6,12,128,256,16,16,recurrence,tiled-transpose,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,1.070387,15673968547.854292,0.000637,1
fft18-fp32_b2_d3_4x3x11_t128x128x512_e16x8x4_tt_fg_gt128x512_ge16x4,fft18-fp32-batch2,1,fft18-fp32_b2_d3_4x3x11_t128x128x512_e16x8x4_tt_fg_gt128x512_ge16x4,0,241041.00659803377,fft18-fp32,3,4x3x11,128x128x512,16x8x4,tablextable,direct-stridedxdirect-strided,fusedxglobal-scratch,2,7x11,128x512,16x4,cufftdx-online-shared+cufftdx-online-shared+cufftdx-large-online,4,11,128,512,16,4,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.053494,9800918739.736185,0.000516,1
fft20-fp32_b16_d4_3x7x3x7_t512x512x512x512_e8x16x8x16_rrr_fgf_gt512x512_ge8x8,fft20-fp32-batch16,3,fft20-fp32_b16_d4_3x7x3x7_t512x512x512x512_e8x16x8x16_rrr_fgf_gt512x512_ge8x8,0,4870496.733311075,fft20-fp32,4,3x7x3x7,512x512x512x512,8x16x8x16,recurrencexrecurrencexrecurrence,direct-stridedxdirect-stridedxdirect-strided,fusedxglobal-scratchxfused,2,10x10,512x512,8x8,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,3,7,512,512,8,16,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,0.829931,20215181673.481499,0.001466,1
fft18-fp32_b2_d4_3x3x3x9_t512x512x512x512_e8x8x8x16_ttt_fgf_gt512x256_ge16x16,fft18-fp32-batch2,3,fft18-fp32_b2_d4_3x3x3x9_t512x512x512x512_e8x8x8x16_ttt_fgf_gt512x256_ge16x16,0,83474.31145798555,fft18-fp32,4,3x3x3x9,512x512x512x512,8x8x8x16,tablextablextable,direct-stridedxdirect-stridedxdirect-strided,fusedxglobal-scratchxfused,2,6x12,512x256,16x16,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,3,9,512,512,8,16,table,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.057324,9146123752.715437,0.000497,1
fft20-fp32_b16_d4_3x3x4x10_t512x512x512x512_e8x8x16x16_rrr_ffg_gt512x512_ge8x8,fft20-fp32-batch16,1,fft20-fp32_b16_d4_3x3x4x10_t512x512x512x512_e8x8x16x16_rrr_ffg_gt512x512_ge8x8,0,4870496.733311075,fft20-fp32,4,3x3x4x10,512x512x512x512,8x8x16x16,recurrencexrecurrencexrecurrence,direct-stridedxdirect-stridedxdirect-strided,fusedxfusedxglobal-scratch,2,10x10,512x512,8x8,cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared+cufftdx-online-shared,3,10,512,512,8,16,recurrence,direct-strided,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,0.832819,20145087347.320728,0.001466,1
