suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply,library,library_version,plan_ms,max_abs_error,relative_l2_error
xor8_r4_b1,xor8-batch1,quick,butterfly,cuButterfly-radix4,0,1,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1,1,256,1000,100,0.012288,0.002560,0.019392,390624.974341,0.400000,99999993.431266,0.000000,-1,,,,,,,,,,,,,,,,,
xor8_r4_b1,xor8-batch1,quick,butterfly,cuButterfly-radix4,0,2,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1,1,256,1000,100,0.008192,0.002478,0.019264,403538.244254,0.413223,103305790.529078,0.000000,-1,,,,,,,,,,,,,,,,,
fft20_cub_b1,fft20-batch1,quick,butterfly,cuButterfly-cuFFTDx-online,0,1,1,1,0.001242,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,20,1048576,1,1,1048576,1000,100,1.417408,0.071690,1.361280,13948.900349,146.264821,14626482132.678507,0.000000,-1,,,,,,,,,,,,,,,,,
fft8_cufft_b16384,fft8-batch16384,quick,fft-library,cuFFT,1,1,16384,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,8,256,16384,1,256,1000,100,,0.083752960,,195622936.867212325,200.317887352,50079471838.006355286,,-1,,,,,,,,,,,,,cufft,10900,1.867097000,0.000000000,0.000000000
fft20_cub_b4,fft20-batch4,quick,butterfly,cuButterfly-cuFFTDx-online,0,3,4,1,0.001242,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,20,1048576,4,1,1048576,1000,100,5.520064,0.235991,5.097792,16949.795641,177.731489,17773148914.194912,0.000000,-1,,,,,,,,,,,,,,,,,
fft18_vkfft_b16,fft18-batch16,quick,fft-library,VkFFT,0,1,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,18,262144,16,1,262144,1000,100,,0.201093122,,79565.127896869,187.717687987,20857520887.396797180,,-1,,,,,,,,,,,,,vkfft,10304,347.989400000,0.000000000,0.000000000
xor8_r4_b64,xor8-batch64,quick,butterfly,cuButterfly-radix4,0,3,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,64,1,256,1000,100,0.034816,0.002560,0.032256,24999998.357816,25.599998,6399999579.601017,0.000000,-1,,,,,,,,,,,,,,,,,
fft14_vkfft_b256,fft14-batch256,quick,fft-library,VkFFT,0,2,256,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,14,16384,256,1,16384,1000,100,,0.171694085,,1491023.991869605,171.002559580,24428937082.791603088,,-1,,,,,,,,,,,,,vkfft,10304,366.255960000,0.000000000,0.000000000
fwht8_warp_b16384,fwht8-batch16384,quick,butterfly,cuButterfly-warp-register,0,2,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,1000,100,2.770240,0.042762,2.605344,383141742.224474,392.337144,98084286009.465363,0.000000,-1,,,,,,,,,,,,,,,,,
fft8_vkfft_b16384,fft8-batch16384,quick,fft-library,VkFFT,0,2,16384,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,8,256,16384,1,256,1000,100,,0.083486721,,196246778.164595336,200.956700841,50239175210.136405945,,-1,,,,,,,,,,,,,vkfft,10304,203.837104000,0.000000000,0.000000000
xor20_hier_b1,xor20-batch1,quick,butterfly,cuButterfly-hierarchical-radix4,0,1,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,20,1048576,1,1,1048576,1000,100,0.752640,0.098079,0.744416,10195.891598,106.911672,10691167228.695623,0.000000,-1,,,,,,,,,,,,,,,,,
fft18_cufft_b4,fft18-batch4,quick,fft-library,cuFFT,1,2,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,18,262144,4,1,262144,1000,100,,0.068608001,,58302.238062814,137.552237053,15283581894.738397598,,-1,,,,,,,,,,,,,cufft,10900,1.877021000,0.000000000,0.000000000
fft18_cufft_b4,fft18-batch4,quick,fft-library,cuFFT,1,3,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,18,262144,4,1,262144,1000,100,,0.068597764,,58310.938721213,137.572764481,15285862720.133602142,,-1,,,,,,,,,,,,,cufft,10900,1.807695000,0.000000000,0.000000000
