trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x256,8x4,table,direct-strided,global-scratch,2,128x256,8x4,shared,cufftdx-block,0,named-barrier,32,128,256,8,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.916032,0.403661,10.121696,158548.958335,83.125316,10390664533.419016,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x256,8x4,table,direct-strided,global-scratch,2,128x256,8x4,shared,cufftdx-block,0,named-barrier,32,128,256,8,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.944000,0.403354,10.123136,158669.712459,83.188626,10398578275.695805,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x256,8x4,table,direct-strided,global-scratch,2,128x256,8x4,shared,cufftdx-block,0,named-barrier,32,128,256,8,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.920832,0.403005,10.144128,158806.784987,83.260492,10407561460.936523,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x256,8x8,table,direct-strided,global-scratch,2,128x256,8x8,shared,cufftdx-block,0,named-barrier,32,128,256,8,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.920256,0.408474,10.125504,156680.879658,82.145905,10268238129.268436,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x256,8x8,table,direct-strided,global-scratch,2,128x256,8x8,shared,cufftdx-block,0,named-barrier,32,128,256,8,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.922272,0.407921,10.129312,156893.255226,82.257251,10282156374.512129,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x256,8x8,table,direct-strided,global-scratch,2,128x256,8x8,shared,cufftdx-block,0,named-barrier,32,128,256,8,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.940096,0.408330,10.133568,156735.884339,82.174743,10271842916.044468,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x512,8x4,table,direct-strided,global-scratch,2,128x512,8x4,shared,cufftdx-block,0,named-barrier,32,128,512,8,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.922912,0.407880,10.131872,156909.017723,82.265515,10283189385.499275,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x512,8x4,table,direct-strided,global-scratch,2,128x512,8x4,shared,cufftdx-block,0,named-barrier,32,128,512,8,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.946688,0.407511,10.128096,157050.965419,82.339937,10292492069.712584,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x512,8x4,table,direct-strided,global-scratch,2,128x512,8x4,shared,cufftdx-block,0,named-barrier,32,128,512,8,4,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.900864,0.407798,10.118240,156940.529281,82.282036,10285254526.979689,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x512,8x8,table,direct-strided,global-scratch,2,128x512,8x8,shared,cufftdx-block,0,named-barrier,32,128,512,8,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.955712,0.423916,10.125120,150973.482176,79.153585,9894198127.881384,0.000000,-1
