trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.478432,0.130355,5.110624,125687358.291831,128.703855,32175963722.708843,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.464352,0.130376,5.106496,125667605.985532,128.683629,32170907132.296246,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.463328,0.130437,5.115168,125608414.998046,128.623017,32155754239.499760,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.463488,0.130417,5.107968,125628134.346072,128.643210,32160802392.594337,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.463424,0.132874,5.108480,123304566.434665,126.263876,31565969007.274273,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.463392,0.132874,5.110272,123304566.434665,126.263876,31565969007.274273,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.493280,0.133038,5.119776,123152701.325208,126.108366,31527091539.253151,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.487904,0.133489,5.113984,122737035.726649,125.682725,31420681146.022038,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.492256,0.133243,5.110912,122963408.934173,125.914531,31478632687.148273,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.472864,0.133243,5.130560,122963408.934173,125.914531,31478632687.148273,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.460928,0.156201,5.111904,104890520.332185,107.407893,26851973205.039387,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.393824,0.155709,5.114976,105221619.342735,107.746938,26936734551.740162,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.461408,0.156652,5.112320,104588840.624368,107.098973,26774743199.838291,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.464000,0.155996,5.109056,105028227.198250,107.548905,26887226162.752007,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.470592,0.156611,5.109472,104616197.039835,107.126986,26781746442.197853,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.471680,0.156058,5.123808,104986879.192365,107.506564,26876641073.245407,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.477056,0.111759,5.110784,146600700.086073,150.119117,37529779222.034645,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.482272,0.111739,5.111328,146627562.099650,150.146624,37536655897.510353,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.461696,0.111636,5.106368,146762068.936999,150.284359,37571089647.871666,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.468864,0.111800,5.116288,146546986.042330,150.064114,37516028426.836540,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.477408,0.111759,5.118496,146600700.086073,150.119117,37529779222.034645,0.000000,-1
