trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.761376,0.047903,2.605472,85506623.351235,437.793912,87558782311.664337,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.763616,0.047954,2.602912,85415334.588098,437.326513,87465302618.212494,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.762784,0.047852,2.602848,85598120.783082,438.262378,87652475681.875748,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.765728,0.047944,2.603552,85433579.398813,437.419927,87483985304.385010,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.762656,0.051241,2.602272,19984013.463139,491.127115,81854519145.018539,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.764768,0.051241,2.610880,19984013.463139,491.127115,81854519145.018539,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.764096,0.051333,2.606208,19948134.089522,490.245343,81707557230.682098,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.765952,0.051220,2.601184,19992003.061081,491.323467,81887244538.186081,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.763872,0.051159,2.605728,20016013.146823,491.913539,81985589849.385345,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.764608,0.051302,2.605824,19960080.040182,490.538927,81756487844.584961,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.770880,0.051118,2.599680,20032051.449416,492.307696,82051282736.808334,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.767008,0.051169,2.602304,20012007.218880,491.815089,81969181568.531937,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.763488,0.051200,2.598240,20000000.505243,491.520012,81920002069.473312,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.766720,0.051292,2.602304,19964063.753887,490.636831,81772805135.921173,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.764064,0.088003,2.602048,1454503.223172,357.458712,47661161616.884148,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.764736,0.087962,2.600128,1455180.455101,357.625149,47683353152.735313,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.763680,0.088023,2.601824,1454164.658908,357.375507,47650067543.103401,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.762624,0.088023,2.602944,1454164.658908,357.375507,47650067543.103401,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.767040,0.087982,2.602240,1454841.698723,357.541896,47672252783.744942,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.762976,0.088064,2.606592,1453488.371920,357.209302,47627906971.070625,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.764672,0.088033,2.605888,1453995.681989,357.333979,47644530507.423981,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.770048,0.087962,2.607840,1455180.455101,357.625149,47683353152.735313,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.764128,0.088054,2.604288,1453657.353938,357.250831,47633444173.828285,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,inverse,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.765792,0.087951,2.601280,1455349.830812,357.666774,47688903256.053391,0.000000,-1
