trial,variant,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
1,natural-fw8-wt1-r10-12-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,64,20,1048576,1,576460756061519873,60,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","10+5+5","ring+ring","2+2",8,0,2,8,1.419424,0.577920,0.578731,0.000811,10,12,2,8,1,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",1.349568,1730.343241,298.782870,1814396394.638594,fused,shoup,-1
1,natural-fw8-wt2-r10-10-1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,64,20,1048576,1,576460756061519873,60,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","10+5+5","ring+ring","2+2",8,0,2,8,1.424288,0.762112,0.763058,0.000946,10,10,1,8,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",1.343424,1312.143060,283.300242,1375881721.443209,fused,shoup,-1
1,natural-fw8-wt2-r10-10-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,64,20,1048576,1,576460756061519873,60,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","10+5+5","ring+ring","2+2",8,0,2,8,1.414432,0.543488,0.544359,0.000871,10,10,2,8,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",1.336928,1839.966941,303.504130,1929345175.022833,fused,shoup,-1
1,natural-fw8-wt2-r9-11-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,64,20,1048576,1,576460756061519873,60,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","10+5+5","ring+ring","2+2",8,0,2,8,1.420160,0.557696,0.558705,0.001009,9,11,2,8,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",1.346272,1793.091626,300.830771,1880192844.314796,fused,shoup,-1
1,natural-fw8-wt2-r11-9-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,64,20,1048576,1,576460756061519873,60,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","10+5+5","ring+ring","2+2",8,0,2,8,1.416224,0.537472,0.538400,0.000928,11,9,2,8,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",1.342592,1860.562005,303.371549,1950940665.106700,fused,shoup,-1
1,natural-fw8-wt2-r10-12-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,64,20,1048576,1,576460756061519873,60,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","10+5+5","ring+ring","2+2",8,0,2,8,1.424480,0.576256,0.577231,0.000975,10,12,2,8,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",1.344896,1735.339918,298.897198,1819635789.600114,fused,shoup,-1
1,natural-fw8-wt4-r10-10-1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,64,20,1048576,1,576460756061519873,60,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","10+5+5","ring+ring","2+2",8,0,2,8,1.416064,0.752256,0.753205,0.000949,10,10,1,8,4,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",1.344000,1329.334737,284.712101,1393908500.796109,fused,shoup,-1
1,natural-fw8-wt4-r10-10-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,64,20,1048576,1,576460756061519873,60,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","10+5+5","ring+ring","2+2",8,0,2,8,1.416224,0.541824,0.542705,0.000882,10,10,2,8,4,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",1.341632,1845.617822,303.059691,1935270553.772384,fused,shoup,-1
1,natural-fw8-wt4-r9-11-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,64,20,1048576,1,576460756061519873,60,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","10+5+5","ring+ring","2+2",8,0,2,8,1.428608,0.553600,0.554568,0.000968,9,11,2,8,4,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",1.346528,1806.358338,300.414331,1894104000.888040,fused,shoup,-1
1,natural-fw8-wt4-r11-9-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,64,20,1048576,1,576460756061519873,60,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","10+5+5","ring+ring","2+2",8,0,2,8,1.420736,0.536832,0.537812,0.000980,11,9,2,8,4,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",1.349248,1862.780249,302.405699,1953266662.316053,fused,shoup,-1
