word_bits,batch,variant,kernel_ms,trials,throughput_vs_v06
64,1,natural-fw16-wt2-r9-11-2,0.497408,1,0.4595985589294905
64,1,natural-fw16-wt4-r10-10-1,0.644352,1,0.35478744537147394
64,1,natural-fw16-wt4-r10-10-2,0.485632,1,0.47074327886136
64,1,natural-fw16-wt4-r10-12-2,0.509824,1,0.44840572432839565
64,1,natural-fw16-wt4-r11-9-2,0.476544,1,0.47972065538544184
64,1,natural-fw16-wt4-r9-11-2,0.494848,1,0.4619762027935851
64,1,natural-fw32-wt1-r10-10-1,0.5792,1,0.39469613259668507
64,1,natural-fw32-wt1-r10-10-2,0.455552,1,0.5018263557178982
64,1,natural-fw32-wt1-r10-12-2,0.474496,1,0.4817912058268142
64,1,natural-fw32-wt1-r11-9-2,0.44352,1,0.5154401154401155
64,1,natural-fw32-wt1-r9-11-2,0.462848,1,0.4939159292035398
64,1,natural-fw32-wt2-r10-10-1,0.584832,1,0.39089516305537314
64,1,natural-fw32-wt2-r10-10-2,0.457856,1,0.4993010902991334
64,1,natural-fw32-wt2-r10-12-2,0.475136,1,0.48114224137931033
64,1,natural-fw32-wt2-r11-9-2,0.44224,1,0.516931982633864
64,1,natural-fw32-wt2-r9-11-2,0.463488,1,0.4932339132836233
64,1,natural-fw32-wt4-r10-10-1,0.583424,1,0.3918385256691531
64,1,natural-fw32-wt4-r10-10-2,0.455552,1,0.5018263557178982
64,1,natural-fw32-wt4-r10-12-2,0.476416,1,0.4798495432563138
64,1,natural-fw32-wt4-r11-9-2,0.440704,1,0.5187336625036306
64,1,natural-fw32-wt4-r9-11-2,0.460032,1,0.4969393433500278
64,1,natural-fw8-wt1-r10-10-1,0.757376,1,0.3018421497380429
64,1,natural-fw8-wt1-r10-10-2,0.538368,1,0.4246314788397528
64,1,natural-fw8-wt1-r10-12-2,0.57792,1,0.39557032115171653
64,1,natural-fw8-wt1-r11-9-2,0.537088,1,0.42564346997140134
64,1,natural-fw8-wt1-r9-11-2,0.557056,1,0.4103860294117647
64,1,natural-fw8-wt2-r10-10-1,0.762112,1,0.2999664091367148
64,1,natural-fw8-wt2-r10-10-2,0.543488,1,0.4206311822892134
64,1,natural-fw8-wt2-r10-12-2,0.576256,1,0.3967125721901377
64,1,natural-fw8-wt2-r11-9-2,0.537472,1,0.42533936651583715
64,1,natural-fw8-wt2-r9-11-2,0.557696,1,0.4099150791829241
64,1,natural-fw8-wt4-r10-10-1,0.752256,1,0.3038965458567296
64,1,natural-fw8-wt4-r10-10-2,0.541824,1,0.42192298606189466
64,1,natural-fw8-wt4-r10-12-2,0.574848,1,0.3976842574036963
64,1,natural-fw8-wt4-r11-9-2,0.536832,1,0.4258464473056748
64,1,natural-fw8-wt4-r9-11-2,0.5536,1,0.41294797687861273
64,1,static-fw16,0.332032,1,0.6885119506553585
64,1,static-fw32,0.333056,1,0.6863950807071483
64,1,static-fw8,0.3328,1,0.686923076923077
64,1,v06,0.228608,1,1.0
64,4,natural-fw16-wt1-r10-10-1,2.233472,1,0.2740558198177546
64,4,natural-fw16-wt1-r10-10-2,1.5296,1,0.40016736401673636
64,4,natural-fw16-wt1-r10-12-2,1.587968,1,0.3854586490407867
64,4,natural-fw16-wt1-r11-9-2,1.352576,1,0.4525409293082237
64,4,natural-fw16-wt1-r9-11-2,1.515264,1,0.40395337050177393
64,4,natural-fw16-wt2-r10-10-1,2.239872,1,0.2732727584433396
64,4,natural-fw16-wt2-r10-10-2,1.52384,1,0.40167996640067194
64,4,natural-fw16-wt2-r10-12-2,1.564288,1,0.39129367482202765
64,4,natural-fw16-wt2-r11-9-2,1.338496,1,0.4573013292531319
64,4,natural-fw16-wt2-r9-11-2,1.506816,1,0.40621814475025486
64,4,natural-fw16-wt4-r10-10-1,2.198016,1,0.2784765897973445
64,4,natural-fw16-wt4-r10-10-2,1.491456,1,0.41040164778578786
64,4,natural-fw16-wt4-r10-12-2,1.57248,1,0.3892551892551892
64,4,natural-fw16-wt4-r11-9-2,1.333376,1,0.4590573101660747
64,4,natural-fw16-wt4-r9-11-2,1.489408,1,0.4109659676864902
64,4,natural-fw32-wt1-r10-10-1,1.983232,1,0.3086356008777591
64,4,natural-fw32-wt1-r10-10-2,1.413504,1,0.4330345014941592
64,4,natural-fw32-wt1-r10-12-2,1.42208,1,0.4304230423042304
64,4,natural-fw32-wt1-r11-9-2,1.246336,1,0.4911163602752387
64,4,natural-fw32-wt1-r9-11-2,1.363328,1,0.4489719275185428
64,4,natural-fw32-wt2-r10-10-1,1.983616,1,0.30857585339097887
64,4,natural-fw32-wt2-r10-10-2,1.365504,1,0.44825646794150725
64,4,natural-fw32-wt2-r10-12-2,1.432064,1,0.4274222381122631
64,4,natural-fw32-wt2-r11-9-2,1.24672,1,0.490965092402464
64,4,natural-fw32-wt2-r9-11-2,1.3728,1,0.44587412587412584
64,4,natural-fw32-wt4-r10-10-1,1.932288,1,0.3167726550079491
64,4,natural-fw32-wt4-r10-10-2,1.34784,1,0.45413105413105415
