trial,physical_core,weights,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct
1,cta-radix4,7-6-7,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-radix4","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-radix4+appt-online-radix4+appt-online-radix4","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","7+6+7","ring+ring","2+2",8,0,3,20,2.823040,0.959130,0.959474,0.000344,2.626208,4170.447736,624.182934,4373031404.895682,fused,shoup,natural,-1
1,fused-tail,4-8-8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-fused-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-fused-tail+appt-online-fused-tail+appt-online-fused-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","4+8+8","ring+ring","2+2",8,0,3,20,2.805312,0.879514,0.879819,0.000305,2.620992,4547.968221,634.334884,4768890325.605338,fused,shoup,natural,-1
1,split-tail,8-6-6,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-split-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-split-tail+appt-online-split-tail+appt-online-split-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,2.823168,1.006234,1.006613,0.000380,2.618976,3975.220175,620.311056,4168320470.228586,fused,shoup,natural,-1
1,register-tail,8-7-5,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","8+7+5","ring+ring","2+2",8,0,3,20,2.812352,0.744858,0.745235,0.000377,2.621408,5370.153906,647.394013,5631014502.354834,fused,shoup,natural,-1
2,v06,9-11,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,3,20,2.820640,0.350106,0.350479,0.000374,2.619200,11425.124838,690.852770,11980111702.475248,fused,shoup,natural,-1
2,warp,7-7-6,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-warp-radix2","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online+appt-online+appt-online","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","7+7+6","ring+ring","2+2",8,0,3,20,2.810624,0.888525,0.888866,0.000342,2.629184,4501.843802,632.078017,4720525366.059494,fused,shoup,natural,-1
2,cta-radix4,7-6-7,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-radix4","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-radix4+appt-online-radix4+appt-online-radix4","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","7+6+7","ring+ring","2+2",8,0,3,20,2.821536,0.960819,0.961187,0.000368,2.631616,4163.113950,623.638575,4365341373.533487,fused,shoup,natural,-1
2,fused-tail,4-8-8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-fused-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-fused-tail+appt-online-fused-tail+appt-online-fused-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","4+8+8","ring+ring","2+2",8,0,3,20,2.814816,0.878899,0.879228,0.000329,2.608384,4551.147531,634.709155,4772224073.629062,fused,shoup,natural,-1
2,split-tail,8-6-6,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-split-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-split-tail+appt-online-split-tail+appt-online-split-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,2.810272,1.002803,1.003158,0.000354,2.618080,3988.818518,621.972250,4182579366.567988,fused,shoup,natural,-1
2,register-tail,8-7-5,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","8+7+5","ring+ring","2+2",8,0,3,20,2.807616,0.702720,0.703054,0.000334,2.619392,5692.167204,652.557508,5968669918.576627,fused,shoup,natural,-1
