trial,family,label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct
2,appt,appt-us8-rs2-td4-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"8+8+4","appt-pipeline+appt-pipeline+appt-pipeline","128+128+128","4+4+4","16+16+16","4+4+4","2+2+2","1+1+1","8+8+4","ring+ring","2+2",8,0,10,30,0.783200,1.896687,0.744992,527.235146,291.981122,552846120.040378,fused,shoup,natural,-1
2,appt,appt-us8-rs1-td8-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"8+8+4","appt-pipeline+appt-pipeline+appt-pipeline","256+256+256","8+8+8","16+16+16","8+8+8","1+1+1","1+1+1","8+8+4","ring+ring","2+2",8,0,10,30,0.794560,1.521971,0.747616,657.042645,326.355075,688959148.679822,fused,shoup,natural,-1
2,appt,appt-us8-rs2-td8-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"8+8+4","appt-pipeline+appt-pipeline+appt-pipeline","128+128+128","4+4+4","16+16+16","8+8+8","2+2+2","1+1+1","8+8+4","ring+ring","2+2",8,0,10,30,0.775456,1.927100,0.743840,518.914511,290.158208,544121301.777766,fused,shoup,natural,-1
2,baseline,barrier,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,10,4,256,dataflow-radix4,"","","","","","","","","","","",0,0,10,30,2.807040,0.241903,2.625760,16535.558119,704.882706,17338789390.542255,fused,shoup,natural,-1
2,v06,resident1010,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,10,30,2.805824,0.310306,2.620352,12890.496157,697.291451,13516664898.410759,fused,shoup,natural,-1
2,appt,appt-us7-rs1-td4-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","224+224+224","7+7+7","16+16+16","4+4+4","1+1+1","1+1+1","6+6+8","ring+ring","2+2",8,0,10,30,2.812896,2.596591,2.640864,1540.481349,496.872751,1615311771.011594,fused,shoup,natural,-1
2,appt,appt-us7-rs2-td4-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","128+128+128","4+4+4","16+16+16","4+4+4","2+2+2","1+1+1","6+6+8","ring+ring","2+2",8,0,10,30,2.791456,2.869350,2.626848,1394.043737,482.645608,1461760805.250850,fused,shoup,natural,-1
2,appt,appt-us7-rs1-td8-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","224+224+224","7+7+7","16+16+16","8+8+8","1+1+1","1+1+1","6+6+8","ring+ring","2+2",8,0,10,30,2.804832,2.592188,2.634016,1543.098167,498.067767,1618055703.352969,fused,shoup,natural,-1
2,appt,appt-us7-rs2-td8-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-pipeline+appt-pipeline+appt-pipeline","128+128+128","4+4+4","16+16+16","8+8+8","2+2+2","1+1+1","6+6+8","ring+ring","2+2",8,0,10,30,2.785376,2.856346,2.620736,1400.390739,484.117461,1468416119.320402,fused,shoup,natural,-1
2,appt,appt-us8-rs1-td4-buf2-cta2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-pipeline","experimental",0.000000,"fixed warp stages stream independent register tokens and are reused across stage folds",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"8+8+4","appt-pipeline+appt-pipeline+appt-pipeline","256+256+256","8+8+8","16+16+16","4+4+4","1+1+1","1+1+1","8+8+4","ring+ring","2+2",8,0,10,30,2.811104,5.808026,2.656448,688.702170,354.749005,722156567.093801,fused,shoup,natural,-1
