trial,variant,producer_dt,consumer_dt,weights,resident_ctas,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
1,homogeneous,2,1,8-12,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","2+1","0+0","0+0","8+12","full-scratch","1",8,0,2,10,0.791936,0.151142,0.152245,0.001103,0,0,0,0,0,7,natural,natural,"",0.730464,6616.277600,597.534923,6937669900.787085,fused,shoup,-1
1,homogeneous,2,1,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","2+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.792640,0.148070,0.149155,0.001084,0,0,0,0,0,7,natural,natural,"",0.731168,6753.544488,598.129647,7081604665.475410,fused,shoup,-1
1,homogeneous,2,1,10-10,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","2+1","0+0","0+0","10+10","full-scratch","1",8,0,2,10,0.792224,0.148480,0.149666,0.001187,0,0,0,0,0,7,natural,natural,"",0.741280,6734.913879,594.535974,7062069055.328189,fused,shoup,-1
1,homogeneous,2,2,8-12,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","2+2","0+0","0+0","8+12","full-scratch","1",8,0,2,10,0.799392,0.152371,0.153432,0.001061,0,0,0,0,0,7,natural,natural,"",0.724896,6562.920116,596.424128,6881720523.194560,fused,shoup,-1
1,homogeneous,2,2,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","2+2","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.787744,0.149811,0.150790,0.000979,0,0,0,0,0,7,natural,natural,"",0.756800,6675.068649,590.195028,6999316783.836015,fused,shoup,-1
1,homogeneous,2,2,10-10,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","2+2","0+0","0+0","10+10","full-scratch","1",8,0,2,10,0.797632,0.149094,0.150010,0.000915,0,0,0,0,0,7,natural,natural,"",0.724480,6707.159902,598.370152,7032966901.356007,fused,shoup,-1
1,homogeneous,4,1,8-12,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","4+1","0+0","0+0","8+12","full-scratch","1",8,0,2,10,0.780640,0.150528,0.151429,0.000901,0,0,0,0,0,7,natural,natural,"",0.725568,6643.282366,603.596469,6965986449.856723,fused,shoup,-1
1,homogeneous,4,1,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","4+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.789440,0.148275,0.149308,0.001033,0,0,0,0,0,7,natural,natural,"",0.730048,6744.216317,599.605517,7071823368.855283,fused,shoup,-1
1,homogeneous,4,1,10-10,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","4+1","0+0","0+0","10+10","full-scratch","1",8,0,2,10,0.784096,0.148480,0.149601,0.001121,0,0,0,0,0,7,natural,natural,"",0.719392,6734.913879,605.338601,7062069055.328189,fused,shoup,-1
1,v06,1,1,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.782560,0.148275,0.149362,0.001087,0,0,0,0,0,7,natural,natural,"",0.722080,6744.216317,604.991721,7071823368.855283,fused,shoup,-1
2,v06,1,1,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.786016,0.148787,0.149863,0.001075,0,0,0,0,0,7,natural,natural,"",0.720160,6721.008238,604.243045,7047487934.595901,fused,shoup,-1
2,homogeneous,1,1,8-12,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+1","0+0","0+0","8+12","full-scratch","1",8,0,2,10,0.799136,0.150938,0.151940,0.001002,0,0,0,0,0,7,natural,natural,"",0.745344,6625.254325,589.825196,6947082679.426544,fused,shoup,-1
2,homogeneous,1,1,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.799104,0.148992,0.150148,0.001156,0,0,0,0,0,7,natural,natural,"",0.734144,6711.769669,594.445519,7037800592.324350,fused,shoup,-1
2,homogeneous,1,1,10-10,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+1","0+0","0+0","10+10","full-scratch","1",8,0,2,10,0.788928,0.149402,0.150368,0.000967,0,0,0,0,0,7,natural,natural,"",0.717024,6693.368516,604.100536,7018505584.949470,fused,shoup,-1
2,homogeneous,1,2,8-12,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+2","0+0","0+0","8+12","full-scratch","1",8,0,2,10,0.788768,0.151450,0.152438,0.000988,0,0,0,0,0,7,natural,natural,"",0.744672,6602.857056,593.510702,6923597440.049746,fused,shoup,-1
2,homogeneous,1,2,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+2","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.786240,0.148275,0.149168,0.000893,0,0,0,0,0,7,natural,natural,"",0.747808,6744.216317,594.416118,7071823368.855283,fused,shoup,-1
