word_bits,logN,batch,role_stages,data_time,median_ms,min_ms,max_ms,cv_pct,regret
64,12,1,6,7,0.154417,0.154356,0.154487,0.03466039431705438,1.6001098400066318
64,12,1,6,11,0.10112,0.101059,0.101151,0.03779909908564914,1.0478322142087375
64,12,1,6,12,0.096504,0.096504,0.096555,0.024908186363942028,1.0
64,12,1,6,13,0.114086,0.114045,0.114168,0.04481694450107773,1.1821893393019978
64,12,1,6,16,0.09694,0.096926,0.096983,0.02501637587006556,1.004517947442593
64,12,16,6,5,0.116443,0.116431,0.116449,0.00642670088160033,1.1997630209674928
64,12,16,6,6,0.106564,0.106514,0.10659,0.0295978982507252,1.0979753747874916
64,12,16,6,7,0.155052,0.154976,0.155154,0.04703071630552594,1.5975683890577508
64,12,16,6,11,0.101515,0.101454,0.101532,0.03299460450403861,1.045953325434032
64,12,16,6,12,0.097055,0.097042,0.097061,0.00817108048095233,1.0
64,12,16,6,13,0.114639,0.114571,0.114649,0.030233767720760828,1.1811756220699603
64,12,16,6,16,0.098116,0.098077,0.098157,0.03329023114899502,1.0109319458039254
64,12,80,6,5,0.11716,0.117131,0.117172,0.014690969625167404,1.1586234177215189
64,12,80,6,6,0.108341,0.108335,0.10838,0.018412154222589776,1.0714102056962025
64,12,80,6,7,0.155488,0.15539,0.155562,0.04530884806009208,1.537658227848101
64,12,80,6,11,0.102525,0.102525,0.102541,0.007356332596842202,1.0138943829113924
64,12,80,6,12,0.101212,0.101159,0.101274,0.04643230130605756,1.0009098101265823
64,12,80,6,13,0.115745,0.115741,0.115775,0.013108073381972252,1.1446301424050633
64,12,80,6,16,0.10112,0.101114,0.101276,0.07412605815658177,1.0
64,12,160,6,5,0.150868,0.150821,0.150897,0.020757777185430974,1.1040387556622344
64,12,160,6,6,0.148873,0.148791,0.148967,0.048299836639167114,1.0894395211158354
64,12,160,6,7,0.189243,0.189198,0.189254,0.012802185899545009,1.3848636307088862
64,12,160,6,11,0.14259,0.142518,0.142596,0.024858376559490896,1.0434610796847443
64,12,160,6,12,0.136651,0.136622,0.136745,0.038412754158896126,1.0
64,12,160,6,13,0.159052,0.159001,0.159066,0.017563202190764456,1.1639285479067112
64,12,160,6,16,0.148679,0.148679,0.148847,0.053246350551581015,1.0880198461774888
64,12,256,6,5,0.287488,0.287431,0.287918,0.07558369538871147,1.1197762691002857
64,12,256,6,6,0.355895,0.355879,0.355973,0.011537462409676087,1.3862240347125658
64,12,256,6,7,0.361298,0.361241,0.361411,0.019552439722702628,1.4072689172187882
64,12,256,6,11,0.263168,0.26282,0.263307,0.07785261248658022,1.0250489800846783
64,12,256,6,12,0.256737,0.256711,0.25686,0.025308224238093438,1.0
64,12,256,6,13,0.294111,0.294015,0.294529,0.07584272540798866,1.145573096203508
64,12,256,6,16,0.268624,0.268497,0.268982,0.07642327625872318,1.046300299528311
64,12,512,6,5,0.574728,0.574659,0.57482,0.011475042216041318,1.1190993120610324
64,12,512,6,6,0.547437,0.547099,0.548233,0.08681191388463225,1.065958801549177
64,12,512,6,7,0.721412,0.721369,0.721525,0.009119213142295279,1.404719576760787
64,12,512,6,11,0.519809,0.519598,0.520495,0.07364522129753671,1.0121620911163771
64,12,512,6,12,0.513608,0.513294,0.513853,0.04454755659272771,1.0000876231348441
64,12,512,6,13,0.577411,0.576319,0.577487,0.0924650009102158,1.124323598078522
64,12,512,6,16,0.513563,0.512645,0.514003,0.11019269743797576,1.0
