case,word_bits,logN,batch,data_time,kernel_ms,regret
w64_n10_b256_td10,64,10,256,10,0.040397,1.0
w64_n10_b272_td5,64,10,272,5,0.04635,1.1435126933609652
w64_n10_b272_td9,64,10,272,9,0.040533,1.0
w64_n10_b272_td10,64,10,272,10,0.040711,1.0043914834825944
w64_n10_b288_td5,64,10,288,5,0.046479,1.1400573965513012
w64_n10_b288_td9,64,10,288,9,0.040769,1.0
w64_n10_b288_td10,64,10,288,10,0.04096,1.0046849321788616
w64_n10_b304_td5,64,10,304,5,0.052535,1.1374658987571993
w64_n10_b304_td9,64,10,304,9,0.046186,1.0
w64_n10_b304_td10,64,10,304,10,0.0465,1.0067985969774391
w64_n10_b320_td5,64,10,320,5,0.046394,1.1350214067278286
w64_n10_b320_td9,64,10,320,9,0.040875,1.0
w64_n10_b320_td10,64,10,320,10,0.04112,1.0059938837920488
w64_n10_b336_td5,64,10,336,5,0.068618,1.0
w64_n10_b336_td9,64,10,336,9,0.069383,1.0111486781893964
w64_n10_b336_td10,64,10,336,10,0.070519,1.0277041009647614
w64_n10_b352_td5,64,10,352,5,0.069861,1.0
w64_n10_b352_td9,64,10,352,9,0.072274,1.0345400151729864
w64_n10_b352_td10,64,10,352,10,0.072428,1.0367443924364095
w64_n10_b368_td5,64,10,368,5,0.071253,1.0
w64_n10_b368_td9,64,10,368,9,0.075114,1.0541871921182266
w64_n10_b368_td10,64,10,368,10,0.071305,1.000729793833242
w64_n10_b384_td5,64,10,384,5,0.071373,1.0
w64_n10_b384_td9,64,10,384,9,0.076762,1.0755047426898126
w64_n10_b384_td10,64,10,384,10,0.071762,1.0054502402869432
w64_n10_b400_td5,64,10,400,5,0.072803,1.0
w64_n10_b400_td9,64,10,400,9,0.079681,1.094474128813373
w64_n10_b400_td10,64,10,400,10,0.073916,1.0152878315454033
w64_n10_b416_td5,64,10,416,5,0.074325,1.0
w64_n10_b416_td9,64,10,416,9,0.081831,1.100988900100908
